doc_id;datetime;text;civility;media;alt_text;likes;reposts;replies;username;handle;user_description;user_image;user_followers;commented_post;sponsored;target;condition;sequence
1;11.06.24 18:23;Couldn’t AGREE more emphatically!!! Reaffirming commitment cultivating enriching experiences integral progressive upbringing paramount importance safeguarding future generations inheriting legacy resilience adaptability perseverance…;85;;;24;7;4;jada;jadaadesiree;Passionate about fashion and lifestyle. Sharing my journey and daily inspirations. Expect style tips and positivity!;;283;0;0;;A;
2;11.06.24 18:26;Ever considered maybe instead working together sharing successful strategies incorporating both traditional new-age learning methods rather than divisively casting blame unfairly upon struggling families?;85;;;24;3;23;#MBGT_NG;Gboxytee;Tech enthusiast and gadget reviewer. Bringing you the latest in tech news and reviews. Stay tuned for tech tips and tricks!;;473;0;0;;A;
3;11.06.24 18:29;Your take is so outdated. Parenting has evolved, and technology is part of it. Maybe it's time to stop living in the past and see the benefits that modern tools can bring to child development.;85;;;30;1;7;Justine;butterflybesos9;Nature lover and travel enthusiast. Documenting my adventures and love for butterflies. Join me on my journey!;;458;0;0;;A;
4;11.06.24 18:32;Totally spot-on observation – our reliance upon tech as surrogate caregivers needs urgent addressing!;85;;;16;3;4;we must end this war;mona403846;Activist and advocate for peace. Sharing insights and updates on global conflicts. Let's work together for a better world.;;344;0;0;;A;
5;11.06.24 18:35;I can't believe you're blaming parents for kids not being toilet trained. Ever thought about developmental delays or other issues? Not everything is black and white. Your judgmental attitude isn't helping anyone, and it's certainly not productive.;85;;;38;8;11;Money_Makin'_Mitch;glennsmashme;Entrepreneur and financial advisor. Helping you make smart money moves. Follow for tips on wealth building and investments.;;132;0;0;;A;
6;11.06.24 18:38;What a load of crap! You think you know everything about parenting? Maybe look in the mirror before casting stones at others who are struggling every day to do their best.;30;;;40;4;0;Reuters Business;ReutersBiz;Your source for the latest business news and market updates. Stay informed with Reuters Business.;;540;0;0;;A;
7;11.06.24 18:41;This is absolute garbage! You're just another out-of-touch boomer blaming parents for everything. Maybe try understanding the complexities of modern life before spewing such nonsense.;30;;;9;2;8;MushfiqueMohamed;mushfique_;Tech geek and software developer. Sharing coding tips and tech trends. Let's innovate together!;;510;0;0;;A;
8;11.06.24 18:44;Utter nonsense spouted here!! Before casting aspersions against hardworking individuals trying best navigate tumultuous terrains daily existence fraught myriad uncertainties perhaps reflect upon own privileged standpoint devoid empathy whatsoever!!;30;;;30;2;0;kayceleen bencito;kclynbencito;Lifestyle blogger and foodie. Sharing my culinary adventures and daily musings. Join me for a taste of life!;;232;0;0;;A;
9;11.06.24 18:47;GET OFF YOUR HIGH HORSE! Not everyone has your privilege. Some parents are doing their best with what they have. Stop judging!;30;;;37;4;20;Yaren;yarenceylan483;Fitness enthusiast and wellness coach. Inspiring you to live a healthier life. Follow for fitness tips and motivation.;;81;0;0;;A;
10;11.06.24 18:50;Like WTF dude??? Blanket generalizations devoid nuanced understanding various socioeconomic constraints limiting feasible options available beleaguered individuals striving ensure survival amidst increasingly hostile environments prevalent globally…;30;;;25;5;17;Adken Jeralyn;AdkenJeralyn;Creative writer and storyteller. Sharing my thoughts and short stories. Dive into my world of words!;;440;0;0;;A;
