id,toxicity_level,toxicity_name,target_min,target_max,valence,topic,text,char_count,length_type,style,focus,format,attempts,backend,model,perspective_toxicity,perspective_severe_toxicity,perspective_insult,perspective_profanity,perspective_threat
1,1,pure_civil,0.0,0.07,positive,Avatar: Fire and Ash (2025),"Just watched Avatar: Fire and Ash on Prime and I’m still processing, tbh. Jake and Neytiri’s relationship is the heart of this film, ngl. 3 moments that got me: 1) their quiet grief over Neteyam, 2) that argument by the fire biome (those visuals tho, such a leap from the ocean), 3) their reunion scene. Pure emotion every time. Imo, their bond carries the whole story. If you love deep character stuff, this one’s for you.",423,long,abbreviated,the Neytiri and Jake relationship as the emotional core,listicle,1,grok,grok-3,0.021785567,0.0012588501,0.010096892,0.02071529,0.008077981
2,1,pure_civil,0.0,0.07,positive,Avatar: Fire and Ash (2025),Just finished Avatar: Fire and Ash and that scene with Neytiri grieving hit me so deep. I’m wondering if her arc in Avatar 4 will focus on healing. Watching this right after The Way of Water made the pain so real. Wow.,218,medium,casual,an emotional moment or scene that hit hard,fan theory,1,grok,grok-3,0.034277402,0.0016021729,0.011312899,0.017436003,0.010343489
3,1,pure_civil,0.0,0.07,positive,Avatar: Fire and Ash (2025),Cameron's vision in Fire and Ash is unreal. Go watch it.,56,very short,deadpan,Cameron's craft and ambition as a filmmaker,recommendation,1,grok,grok-3,0.05750068,0.0013446808,0.024511116,0.0127903465,0.009126588
4,1,pure_civil,0.0,0.07,mixed-positive,Avatar: Fire and Ash (2025),"Just rewatched Avatar: Fire and Ash and I’m obsessed again. Three visuals that keep pulling me back: 1. Varang’s fiery entrance, 2. that ash-biome glow, pure magic, 3. Lo’ak’s quiet grief. Only nitpick is pacing lags a tad. Still, need a third watch.",250,medium,meme-register,rewatchability or the desire to see it again,listicle,2,grok,grok-3,0.048842013,0.0020217896,0.017807651,0.027547138,0.008815889
5,1,pure_civil,0.0,0.07,positive,Avatar: Fire and Ash (2025),"Just watched Avatar: Fire and Ash on digital and wow, I’m blown away again. The visuals are next level, and the Ash People’s fire biome is unreal, you catch new details every time. Perfect for families or anyone who loved the first two. Grab some snacks and dive in, it’s so worth a rewatch.",291,long,casual,"recommending the film to a specific audience (families, fans of Avatar 1, cinema-goers)",recommendation,1,grok,grok-3,0.024967449,0.0012302399,0.011274899,0.01535229,0.008336896
6,1,pure_civil,0.0,0.07,positive,Avatar: Fire and Ash (2025),NEYTIRI AND JAKE FOREVER! Their bond is EVERYTHING!,51,very short,emphatic,the Neytiri and Jake relationship as the emotional core,statement,1,grok,grok-3,0.02107848,0.0010442734,0.013212911,0.013780965,0.0062914654
7,1,pure_civil,0.0,0.07,mixed-positive,Avatar: Fire and Ash (2025),"Just watched Avatar: Fire and Ash, and Jake and Neytiri's bond is the heart of it all. Their love carries so much pain with Neteyam's loss, but also hope. A must-see for anyone who loves deep family stories. Only nitpick is the runtime feels a tad long.",253,medium,casual,the Neytiri and Jake relationship as the emotional core,recommendation,1,grok,grok-3,0.01608456,0.000667572,0.009545889,0.012687869,0.007029374
8,1,pure_civil,0.0,0.07,mixed-positive,Avatar: Fire and Ash (2025),"Just walked out of Avatar: Fire and Ash and I’m already itching to rewatch it, like, tomorrow! The visuals are beyond stunning, and Lo’ak’s journey into stepping up as a leader hit me so hard, I was rooting for him the whole way. Only tiny gripe is some slow pacing early on, but honestly, I’m still blown away and can’t wait to dive back into Pandora’s world again soon.",371,long,stream-of-consciousness,rewatchability or the desire to see it again,reaction,1,grok,grok-3,0.021549871,0.0012588501,0.009906891,0.016411226,0.0091524795
9,1,pure_civil,0.0,0.07,mixed-positive,Avatar: Fire and Ash (2025),"Just walked out of Avatar: Fire and Ash and wow, my heart is so full, it’s like the first Avatar all over again with that mind-blowing sense of a new world, but the fire-biome environments are such a wild leap from the ocean vibes of Way of Water, pure visual magic. Only tiny nitpick is the pacing felt a touch slow at first, but once it picks up, I was locked in, crying over the family stuff, just as powerful as the first two. If you loved the Pandora journey so far, this is absolutely your next obsession, go see it on the biggest screen you can find.",557,long,stream-of-consciousness,comparison to Avatar 1 or The Way of Water,reaction,1,grok,grok-3,0.038991302,0.0020599365,0.018001022,0.026044132,0.008246276
10,1,pure_civil,0.0,0.07,positive,Avatar: Fire and Ash (2025),"Just finished Avatar: Fire and Ash on digital, and I’m quietly blown away by Pandora’s fire biome. The Ash People’s world feels so alive, every frame packed with textures and details I didn’t catch the first time. Rewatching is a must, the visuals just keep unfolding with new depth. Pure artistry.",298,long,deadpan,"the visual effects, world-building, or the Pandora environment",statement,1,grok,grok-3,0.022139108,0.0012683868,0.010134893,0.014600786,0.008634649
