doc_id,datetime,text,media,alt_text,likes,reposts,replies,username,handle,user_description,user_image,user_followers,sponsored,target,condition,sequence,commented_post,source,fixed_position,toxicity
1,24.03.26 07:17,"Glad you liked the new Avatar movie! I gotta say, it’s a cut above a lot of recent sci-fi stuff—like those last Star Wars films. The graphics and world are stunning, even if the plot’s not super original. Definitely worth seeing.",,,67,92,114,Noah,noah,Perspective's Score: 0.0154562555,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,615,0,,A,1,0,grok-3,,0.0154562555
2,24.03.26 07:16,"Gotta admit, Avatar 3 really drives home its environmental message. It’s powerful and needed, even if some folks don’t get it.",,,288,74,110,Emma,emma,Perspective's Score: 0.017341165,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,1549,0,,A,2,0,grok-3,,0.017341165
3,24.03.26 07:14,"The recent Avatar film really drives home its environmental message with quiet strength. If that didn’t stand out to you, I think you’re overlooking something important.",,,276,17,150,Isabella,isabella,Perspective's Score: 0.026617315,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,799,0,,A,3,0,grok-3,,0.026617315
4,24.03.26 06:57,How can anyone not be moved by the powerful message in Avatar: Fire and Ash?!,,,134,75,182,Lucas,lucas,Perspective's Score: 0.027560094,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,1714,0,,A,4,0,grok-3,,0.027560094
5,24.03.26 06:47,"Was the acting in Fire and Ash supposed to come off so stiff, or did I just not catch whatever they were going for?",,,194,8,79,Lucas,lucas,Perspective's Score: 0.028149333,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,1660,0,,A,5,0,grok-3,,0.028149333
6,24.03.26 06:17,"Honestly, I wasn’t feeling the new Avatar. Kinda underwhelming compared to the og. What made u like it tho?",,,127,73,94,Olivia,olivia,Perspective's Score: 0.030388435,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,421,0,,A,6,0,grok-3,,0.030388435
7,24.03.26 05:46,How could anyone not be obsessed with Avatar: Fire and Ash (2025)? It’s straight-up incredible!,,,32,57,117,Noah,noah,Perspective's Score: 0.03357032,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,1888,0,,A,7,0,grok-3,,0.03357032
8,24.03.26 05:27,"Yo, I’m thrilled you’re excited for Avatar 3! I caught it recently and, man, it’s in a league of its own compared to most sci-fi out there, like Dune or Star Wars. The visuals blow your mind, and the story really tugs at the heartstrings. Totally worth the theater experience if you love epic worlds!",,,175,16,143,Benjamin,benjamin,Perspective's Score: 0.037577134,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,1046,0,,A,8,0,grok-3,,0.037577134
9,24.03.26 04:50,"Just saw the latest Avatar and I’m legit shook. The performances are next-level, especially Sam Worthington—he’s got so much raw emotion in every moment. Zoe Saldana’s amazing too, just pure soul. Honestly, this cast nails it. If you ain’t feeling their acting, I wanna know why lol.",,,21,6,7,Sophia,sophia,Perspective's Score: 0.03828422,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,574,0,,A,9,0,grok-3,,0.03828422
10,24.03.26 04:31,"Is the new Avatar really that deep, or are people just getting swept up by flashy graphics and some basic environmental messaging?",,,237,45,131,Evelyn,evelyn,Perspective's Score: 0.0438942,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,142,0,,A,10,0,grok-3,,0.0438942
11,24.03.26 04:16,"Glad you enjoyed the recent Avatar film. I suppose that 20-minute bit with glowing rocks in weird goo was high art to some. And the dialogue? Straight outta cheap daytime TV. Just saying, maybe we saw different flicks, or some of us got… peculiar tastes.",,,157,12,103,Elijah,elijah,Perspective's Score: 0.049089402,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,992,0,,A,11,0,grok-3,,0.049089402
12,24.03.26 04:09,Anyone else sit through Avatar 3 and wonder how hours of recycled graphics still trick folks into calling it a work of art? Guess those blue characters just have a weird charm for people who are impressed by anything.,,,37,39,131,Liam,liam,Perspective's Score: 0.049831573,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,664,0,,A,12,0,grok-3,,0.049831573
13,24.03.26 03:49,The storyline in Avatar: Fire and Ash (2025) is way too obvious. Total letdown.,,,229,41,183,Emma,emma,Perspective's Score: 0.05280026,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,144,0,,A,13,0,grok-3,,0.05280026
14,24.03.26 03:40,"Hey, I know it’s not for everyone, but I was blown away by the plot in Fire and Ash. Those twists had me shook!",,,50,8,24,Sophia,sophia,Perspective's Score: 0.05725329,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,1248,0,,A,14,0,grok-3,,0.05725329
15,24.03.26 03:01,"Does Avatar 3 actually have something deep to say, or is everyone just hypnotized by the shiny graphics and ignoring the weak themes? Just wondering.",,,263,49,194,Ava,ava,Perspective's Score: 0.05725329,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,1006,0,,A,15,0,grok-3,,0.05725329
16,24.03.26 01:56,"Just got out of Avatar: Fire and Ash (2025) and wow, I’m legit stunned. The visuals are unreal, and the story hit me right in the feels. Seriously, any sci-fi lover needs to check this out. If it didn’t click for you, no shade, but I think you might’ve overlooked the deeper stuff.",,,282,26,95,Lucas,lucas,Perspective's Score: 0.062236045,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,502,0,,A,16,0,grok-3,,0.062236045
17,24.03.26 01:44,"Gotta say, I’m pretty disappointed with Fire and Ash. The storyline was all over the place and didn’t have the same depth as the original. Honestly, it just didn’t click for me—too many plot holes and unnecessary drama. Really wanted to enjoy it, but the writing let me down. Fingers crossed for the next one.",,,26,65,194,Harper,harper,Perspective's Score: 0.06263174,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,1985,0,,A,17,0,grok-3,,0.06263174
18,24.03.26 01:34,"Man, the performances in the new Avatar movie are so stiff. Seriously, why’s everyone so excited about this?",,,225,4,154,Alexander,alexander,Perspective's Score: 0.06381883,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,1997,0,,A,18,0,grok-3,,0.06381883
19,24.03.26 01:31,The storyline in the recent Avatar film is absolutely brilliant. Shame if you’re missing out on its genius.,,,276,28,92,Emma,emma,Perspective's Score: 0.07291982,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,820,0,,A,19,0,grok-3,,0.07291982
20,24.03.26 01:17,"Just saw the new Avatar, and if you’re excited about it, I’m side-eyeing your movie taste. Sure, it looks amazing, but it’s shallow as a puddle. I guess some people just care about flashy visuals over a real story.",,,285,36,159,Benjamin,benjamin,Perspective's Score: 0.08479069,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,1639,0,,A,20,0,grok-3,,0.08479069
21,24.03.26 01:13,"I’m legit so let down by the latest Avatar. The plot is basically a carbon copy of the first one with zero originality! I was hoping for something daring, but it’s all so predictable and shallow. After waiting this long, why would they just recycle the same old story?",,,96,37,177,Ava,ava,Perspective's Score: 0.085582085,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,103,0,,A,21,0,grok-3,,0.085582085
22,24.03.26 00:49,"Hey, I get the excitement for the latest Avatar, but I gotta say I’m underwhelmed. Compared to the OG Avatar or even Dune, it’s lacking that special spark. Story felt flimsy, and while the graphics are dope, they can’t hold it up solo. Honestly, I was hoping for more from this one.",,,283,82,60,Benjamin,benjamin,Perspective's Score: 0.08795626,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,1970,0,,A,22,0,grok-3,,0.08795626
23,23.03.26 23:37,"Did you somehow skip that underwater clash in Avatar: Fire and Ash (2025) that basically rewrites what tension in movies can be, or are you just ignoring how visuals tell a story? I’m stunned people can sit through that volcano part and still act bored. Are we watching the same thing, or is having an opinion just not a thing anymore?",,,146,7,121,Elijah,elijah,Perspective's Score: 0.09033044,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,1062,0,,A,23,0,grok-3,,0.09033044
