id,toxicity_level,toxicity_name,valence,topic,text,char_count,length_type,style,focus,format,backend,model,perspective_toxicity,perspective_severe_toxicity,perspective_insult,perspective_profanity,perspective_threat
1,1,civil,positive,Joker: Folie à Deux (2024),JOKER: FOLIE À DEUX has an INCREDIBLE story! The plot twists are pure genius—don’t miss this masterpiece!,105,short,emphatic,the plot or story,hot take,grok,grok-3,0.012000589,0.0012493134,0.009431887,0.013780965,0.006194372
2,1,civil,negative,The Rise of Skywalker (2019),Rise of Skywalker’s plot felt so rushed. Disappointing end.,59,very short,casual,the plot or story,hot take,grok,grok-3,0.07608539,0.0011777878,0.02982438,0.014327513,0.007961469
3,1,civil,negative,Barbie (2023),"Hey, I get why you liked Barbie, but I gotta say, I’m really disappointed with how it handled some cultural issues. It felt like it tried to tackle big topics but ended up oversimplifying them, missing the mark for a lot of us. I wish it had dug deeper into the real complexities instead of just skimming the surface. Curious to hear your thoughts on this!",356,long,casual,the film's cultural impact or controversy,reaction,grok,grok-3,0.03309893,0.00093460083,0.016556932,0.016103793,0.006479179
4,1,civil,positive,Joker: Folie à Deux (2024),How can you not love Joker: Folie à Deux's bold message?!,57,very short,emphatic,the themes or message,rhetorical question,grok,grok-3,0.017089844,0.00081539154,0.016100928,0.013576009,0.0053302427
5,1,civil,positive,Barbie (2023),"Just watched Barbie (2023) and I’m blown away by the acting! Margot Robbie totally nails the role with so much heart and humor, and Ryan Gosling as Ken is just perfect—his comedic timing is spot on. The whole cast brings so much life to the story. If you didn’t vibe with it, that’s cool, but I think their performances are worth appreciating! Definitely a must-see for the acting alone.",387,long,casual,the acting or specific actors,statement,grok,grok-3,0.013445686,0.00081539154,0.008728883,0.014839902,0.0071199946
6,1,civil,negative,The Rise of Skywalker (2019),"How can anyone overlook the divisive impact of The Rise of Skywalker on Star Wars fans? This film fractured a passionate community with its rushed storytelling and controversial choices! I’m genuinely curious—did the filmmakers anticipate this split, or was unity never the goal for this finale?",295,long,emphatic,the film's cultural impact or controversy,rhetorical question,grok,grok-3,0.034513097,0.0010538101,0.015644927,0.013678487,0.007197669
7,1,civil,positive,Barbie (2023),"Ngl, I’m blown away by Barbie (2023) and its cultural impact. Tbh, it’s sparked so many convos about gender and society, which is huge for a film. Imo, it’s a bold move to tackle such topics with humor and heart. Lol, if u can’t see the value in that, we’re just not on the same page. Worth the watch!",301,long,abbreviated,the film's cultural impact or controversy,statement,grok,grok-3,0.059974585,0.0029182434,0.018516673,0.051932767,0.008414571
8,1,civil,positive,Barbie (2023),"Hey, I gotta say, I loved the Barbie movie too! Tbh, the story was so creative and hit deep with its themes. Ngl, it’s refreshing to see such a unique plot done so well. Imo, it’s a must-watch for the narrative alone lol!",221,medium,abbreviated,the plot or story,reaction,grok,grok-3,0.04240986,0.002937317,0.014162917,0.04667213,0.010032792
9,1,civil,positive,The Marvels (2023),"Hot take: The Marvels might just have the strongest acting ensemble in the MCU. Brie Larson, Teyonah Parris, and Iman Vellani bring such effortless chemistry and depth to their roles. Every interaction feels authentic. If you’re dismissing this film, you’re missing out on some stellar performances.",299,long,deadpan,the acting or specific actors,hot take,grok,grok-3,0.035691574,0.0011396408,0.015796926,0.017231047,0.007883795
10,1,civil,positive,The Rise of Skywalker (2019),I found The Rise of Skywalker’s plot to be engaging and a fitting conclusion to the saga. It’s a story worth experiencing.,122,short,formal,the plot or story,statement,grok,grok-3,0.009801528,0.0007343292,0.006961873,0.01128734,0.007624879
11,1,civil,negative,Avatar: Fire and Ash (2025),"Is it just me, or does the plot of Avatar: Fire and Ash feel like a rehash of tired tropes? I had hoped for a fresh narrative, but the story seems to lack the depth and originality that could elevate this franchise. Thoughts?",225,medium,formal,the plot or story,rhetorical question,grok,grok-3,0.03545588,0.0014209747,0.014580919,0.018255826,0.009877442
12,1,civil,negative,Mission: Impossible - The Final Reckoning (2025),"I found Mission: Impossible - The Final Reckoning (2025) to be a disappointing conclusion to the franchise. The plot feels convoluted, with too many twists that lack coherence or emotional weight. While I appreciate the effort, the story fails to deliver the gripping narrative depth I had hoped for in this final chapter.",322,long,formal,the plot or story,statement,grok,grok-3,0.040183347,0.0010251999,0.018258847,0.014805742,0.0073918556
13,1,civil,negative,Mission: Impossible - The Final Reckoning (2025),How can one overlook the underwhelming performances in Mission: Impossible - The Final Reckoning? A true disappointment.,120,short,formal,the acting or specific actors,rhetorical question,grok,grok-3,0.07687678,0.0011634827,0.030926194,0.01220964,0.0066345283
14,1,civil,positive,Mission: Impossible - The Final Reckoning (2025),"I must assert that Mission: Impossible - The Final Reckoning (2025) stands as a pinnacle of action cinema, arguably surpassing even the kinetic mastery of the Fast & Furious saga. Its intricate plotting and breathtaking stunts redefine the genre. I respectfully challenge skeptics to reconsider their stance after witnessing this triumph of filmmaking.",352,long,formal,comparison to other films,hot take,grok,grok-3,0.020607091,0.0009584427,0.010248893,0.013576009,0.008362788
15,1,civil,positive,Joker: Folie à Deux (2024),The courtroom scene in Joker: Folie à Deux is masterful!,56,very short,formal,specific scenes,hot take,grok,grok-3,0.003926894,0.0004029274,0.0065628705,0.010313802,0.005385262
16,1,civil,negative,The Rise of Skywalker (2019),"Honestly, The Rise of Skywalker left me so disappointed! The final duel felt SO rushed and lacked emotional weight. I wanted an epic clash, not a quick wrap-up! I just can’t get over how it missed the mark there.",212,medium,emphatic,specific scenes,hot take,grok,grok-3,0.06817148,0.0014019012,0.025413504,0.017845914,0.007534259
17,1,civil,negative,Barbie (2023),"Did anyone else find the Barbie movie’s dreamhouse sequence oddly hollow? I was hoping for deeper insight into the iconic setting, but it felt like a superficial backdrop. What was the point of lingering on pastel aesthetics if there’s no substance behind it to unpack or connect with emotionally?",297,long,deadpan,specific scenes,rhetorical question,grok,grok-3,0.037105743,0.00092983246,0.017292,0.01620627,0.0067251488
18,1,civil,negative,The Marvels (2023),"The Marvels plot is a MESS! Honestly, it’s all over the place with no clear focus. Really disappointed with this one!",117,short,emphatic,the plot or story,hot take,grok,grok-3,0.22846605,0.0038528442,0.110259406,0.07870171,0.0067445673
19,1,civil,positive,The Marvels (2023),"Just watched The Marvels and tbh, I’m kinda blown away by how it tackles diversity and representation. Ngl, it’s refreshing to see such bold storytelling in a blockbuster. Imo, the controversy around it just shows how much we need these narratives. If you’re skipping it, you’re missing out on a cultural moment, lol.",317,long,abbreviated,the film's cultural impact or controversy,hot take,grok,grok-3,0.05255287,0.001964569,0.018838953,0.04065997,0.0075083673
20,1,civil,negative,Joker: Folie à Deux (2024),How can a story with such potential in Joker: Folie à Deux falter so much in its narrative coherence and depth?,111,short,formal,the plot or story,rhetorical question,grok,grok-3,0.008419261,0.00040531158,0.00971689,0.009716015,0.005383644
21,1,civil,positive,The Rise of Skywalker (2019),"Just watched The Rise of Skywalker and, honestly, I thought it was a solid end to the saga. The pacing and heart were there. I get the criticism, but I think it’s worth appreciating for what it tried to do. Sue me.",214,medium,deadpan,personal reaction after watching,hot take,grok,grok-3,0.019603057,0.0010919571,0.009469888,0.014498309,0.009048914
22,1,civil,negative,Joker: Folie à Deux (2024),I found Joker: Folie à Deux disappointing. The themes felt muddled and lacked the depth I hoped for in a sequel.,112,short,deadpan,the themes or message,statement,grok,grok-3,0.030506283,0.0011539459,0.021417208,0.016821137,0.006051969
23,1,civil,positive,Mission: Impossible - The Final Reckoning (2025),I’ll say it: Mission: Impossible - The Final Reckoning might be the defining action flick of our time. The debates around its stunts and story just prove how much it’s shaking up the genre. See it and join the convo.,216,medium,deadpan,the film's cultural impact or controversy,hot take,grok,grok-3,0.029092113,0.0011491776,0.012528907,0.014327513,0.008220384
24,1,civil,positive,Mission: Impossible - The Final Reckoning (2025),"Hot take: Mission: Impossible - The Final Reckoning has the wildest plot twists yet. Pure genius storytelling, don’t miss it!",125,short,casual,the plot or story,hot take,grok,grok-3,0.027677942,0.0015163422,0.010248893,0.016342908,0.009230154
25,1,civil,negative,Barbie (2023),Barbie (2023) felt like a confusing mess story-wise.,52,very short,deadpan,the plot or story,statement,grok,grok-3,0.11129999,0.0016212463,0.060752302,0.02126184,0.006530962
26,1,civil,negative,Barbie (2023),"I didn’t vibe with Barbie (2023). The themes felt forced and lacked depth. I get the intent, but it just didn’t resonate.",121,short,casual,the themes or message,hot take,grok,grok-3,0.036162965,0.000910759,0.016024929,0.014942379,0.006977591
27,1,civil,positive,The Rise of Skywalker (2019),"How can one not appreciate the cinematic achievement of The Rise of Skywalker? Compared to the uneven pacing of The Last Jedi or the nostalgia-heavy Force Awakens, this film masterfully balances emotional depth and thrilling action. Does it not stand as a worthy conclusion to the saga, uniting fans with its ambitious storytelling?",332,long,formal,comparison to other films,rhetorical question,grok,grok-3,0.021667719,0.00082969666,0.0103248935,0.012926984,0.0072365063
28,1,civil,positive,Joker: Folie à Deux (2024),Hot take: Joker: Folie à Deux outshines most superhero flicks with its bold depth. Way more gripping than typical cape fare!,124,short,casual,comparison to other films,hot take,grok,grok-3,0.043646812,0.0038146973,0.021675033,0.051181246,0.00713294
29,1,civil,positive,Barbie (2023),"Hey, I gotta say, I loved the Barbie movie too! Tbh, the story was so clever and heartfelt, imo it nailed the balance of fun and deeper themes. Ngl, it’s a must-watch for the plot alone. Glad u enjoyed it!",205,medium,abbreviated,the plot or story,reaction,grok,grok-3,0.033334624,0.002632141,0.011958904,0.043415543,0.009825659
