V1,clickability_test_id,headline,created_at,updated_at,excerpt,lede,slug,eyecatcher_id,significance,first_place,winner,share_text,square,test_week,clicks,impressions,word_count,relative_date,readability_fog,toxicity,severe_toxicity,identity_attack,insult,profanity,sexually_explicit,threat,flirtation,attack_on_author,attack_on_commenter,incoherent,inflammatory,likely_to_reject,obscene,spam,unsubstantial
11,546dd17e26714c82cc00001c,"Let’s See … Hire Cops, Pay Teachers, Buy Books For Schools. Or Kill People. Hard Choice, Right?",2014-11-20T11:33:26.475Z,2016-04-02T16:25:54.046Z,Things that matter. Pass 'em on.,"<p>Iff you start with the basic fact that innocent people have been put to death for things they didn't do, the death penalty is already off the table for me. But add the high price of it, and it's time to put the death penalty to death.</p>",let-s-see-hire-cops-pay-teachers-buy-books-for-schools-or-kill-people-hard-choice-right-bw2-1a,546dce659ad54ec65b000041,0.1,FALSE,FALSE,"","",201446,8,3118,16,653,2.13333333333333,0.50789946,0.112294696,0.029402243,0.1087965,0.092279755,0.009672256,0.5940531,0.47152537,0.007131818,0.21773085,0.415894,0.75058323,0.7203143,0.036492974,0.0127808675,0.6844346
13,546dd17e26714c82cc00001c,$3 Million Is What It Takes For A State To Legally Kill Someone,2014-11-20T11:33:51.973Z,2016-04-02T16:25:54.069Z,Things that matter. Pass 'em on.,"<p>Iff you start with the basic fact that innocent people have been put to death for things they didn't do, the death penalty is already off the table for me. But add the high price of it, and it's time to put the death penalty to death.</p>",3-million-is-what-it-takes-for-a-state-to-legally-kill-someone-bw2-1b,546dce659ad54ec65b000041,26.9,FALSE,FALSE,"","",201446,19,3017,13,653,8.45714285714286,0.46186632,0.026936848,0.038425524,0.07935401,0.15812257,0.019462466,0.54744303,0.37645677,0.03769888,0.30777812,0.80937815,0.666153,0.653939,0.1787326,0.068168014,0.7477619
14,546dd17e26714c82cc00001c,The Fact That Sometimes Innocent People Are Executed Is Enough To End The Death Penalty. But This?,2014-11-20T11:34:12.107Z,2016-04-02T16:25:54.049Z,Things that matter. Pass 'em on.,"<p>Iff you start with the basic fact that innocent people have been put to death for things they didn't do, the death penalty is already off the table for me. But add the high price of it, and it's time to put the death penalty to death.</p>",the-fact-that-sometimes-innocent-people-are-executed-is-enough-to-end-the-death-penalty-but-this-bw2-1c,546dce659ad54ec65b000041,100,TRUE,FALSE,"","",201446,26,2974,17,653,10.4588235294118,0.23235008,0.0126394415,0.010211408,0.023221988,0.032643758,0.012326228,0.2836219,0.3623842,0.14570615,0.2807527,0.5442702,0.70849013,0.41026294,0.036103167,0.02765453,0.6889299
15,546dd17e26714c82cc00001c,Reason #351 To End The Death Penalty: It Costs $3 Million Per Case.,2014-11-20T11:34:33.935Z,2016-04-02T16:25:54.072Z,Things that matter. Pass 'em on.,"<p>Iff you start with the basic fact that innocent people have been put to death for things they didn't do, the death penalty is already off the table for me. But add the high price of it, and it's time to put the death penalty to death.</p>",reason-351-to-end-the-death-penalty-it-costs-3-million-per-case-bw2-1d,546dce659ad54ec65b000041,0.2,FALSE,FALSE,"","",201446,10,3050,13,653,8.45714285714286,0.05304765,0.002670288,0.002848835,0.010400894,0.012107162,0.0044232877,0.034422375,0.26270178,0.016773008,0.33333358,0.45343804,0.6307952,0.61695284,0.177296,0.124571286,0.76634246
16,546dd17e26714c82cc00001c,"I Was Already Against The Death Penalty, But Now That I See What It Costs Us All? Ahem.",2014-11-20T11:34:48.474Z,2016-04-02T16:25:54.052Z,Things that matter. Pass 'em on.,"<p>Iff you start with the basic fact that innocent people have been put to death for things they didn't do, the death penalty is already off the table for me. But add the high price of it, and it's time to put the death penalty to death.</p>",i-was-already-against-the-death-penalty-but-now-that-i-see-what-it-costs-us-all-ahem-bw2-1e,546dce659ad54ec65b000041,32,FALSE,FALSE,"","",201446,20,3061,18,653,8.04444444444444,0.16678599,0.006790161,0.00725158,0.020579277,0.026454043,0.010497936,0.13650303,0.3010998,0.045546696,0.23033984,0.46176112,0.7079002,0.5301591,0.17780253,0.020963099,0.6740679
17,546dd17e26714c82cc00001c,I'll Say It: It's Not OK For States To Legally Murder People.,2014-11-20T11:36:09.896Z,2016-04-02T16:25:54.055Z,Things that matter. Pass 'em on.,"<p>Iff you start with the basic fact that innocent people have been put to death for things they didn't do, the death penalty is already off the table for me. But add the high price of it, and it's time to put the death penalty to death.</p>",ill-say-it-its-not-ok-for-states-to-legally-murder-people-bw2-1f,546dce659ad54ec65b000041,28.2,FALSE,FALSE,"","",201446,20,2997,12,653,8.13333333333334,0.18364124,0.006713867,0.015757138,0.0233509,0.031140719,0.010792822,0.1575099,0.25445023,0.010466045,0.28067237,0.23921685,0.75423473,0.552656,0.023057599,0.011773676,0.707225
22,546e0d339ad54e667a00005a,You Guys. Solar-Powered Boat Schools. Repeat. Solar. Powered. Boat. Schools. What?,2014-11-20T15:48:53.770Z,2016-04-02T16:31:40.771Z,Things that matter. Pass 'em on.,<p>This is a pretty great idea for a TV show! I can't wait to watch it.</p>,you-guys-solar-powered-boat-schools-repeat-solar-powered-boat-schools-what-jl2-11c,546a84cc5b606a1fa0000022,0,FALSE,FALSE,"","",201446,14,4596,12,653,0.6,0.01847211,0.001001358,0.002626848,0.010210892,0.011406898,0.004098913,0.006479179,0.34837767,0.21492095,0.5327734,0.44904682,0.14760299,0.47747806,0.021697335,0.044098362,0.7716367
35,546e0d339ad54e667a00005a,"They're Asking For $12,000. If I Give It To Them, Can I Have Their Life?",2014-11-20T15:49:14.300Z,2016-04-02T16:31:40.774Z,Things that matter. Pass 'em on.,<p>This is a pretty great idea for a TV show! I can't wait to watch it.</p>,theyre-asking-for-12-000-if-i-give-it-to-them-can-i-have-their-life-jl2-11d,546a84cc5b606a1fa0000022,1.4,FALSE,FALSE,"","",201446,27,4556,15,653,3.2,0.19409354,0.006713867,0.0064006294,0.033570543,0.020988565,0.011382594,0.13448004,0.3525016,0.045628533,0.17871447,0.43844268,0.30240148,0.24240944,0.041182496,0.049540404,0.79423165
52,546dee0c26714c0538000056,At First Glance It Just Looks Like A Bus. But Inside? It's So Much Bigger.,2014-11-20T13:35:08.065Z,2016-04-02T16:25:54.156Z,#PromotedPost Things that matter. Pass 'em on.,"<p>Meet Amelia. Some might call her a businesswoman (she went to business school after all), or even an entrepreneur. But the real story of what she does goes so much deeper.</p>",at-first-glance-it-just-looks-like-a-bus-but-inside-its-so-much-bigger-mk2-3a,5465291f744884eb36000042,0.7,FALSE,FALSE,"","",201446,57,4574,15,653,2,0.029917045,0.0016212463,0.0024603575,0.012832909,0.017777596,0.020995872,0.0074048014,0.25607342,0.052241866,0.04478326,0.37472615,0.43999416,0.44648555,0.07918741,0.020747082,0.8307522
53,546d70df9ad54ec65b000026,"When NASA Crunched The Numbers, They Uncovered An Incredible Story No One Could See",2014-11-20T13:36:52.879Z,2016-04-02T16:25:54.131Z,Things that matter. Pass 'em on.,"<p>NASA produced this amazing video to show what happens to carbon dioxide and monoxide in our atmosphere over the course of a year. And it’s mesmerizing. It’s not a “we’re all going to die” kinda thing. It’s more like a “er, it almost looks like it’s alive” thing. Yow.</p>",when-nasa-crunched-the-numbers-they-uncovered-an-incredible-story-no-one-could-see-rb2-1a,546d6fcf9ad54ec1f9000018,51.9,FALSE,FALSE,"","",201446,41,4611,14,653,11.3142857142857,0.02638162,0.0014400482,0.0068076057,0.0116169015,0.013473531,0.0080798725,0.007948523,0.26795846,0.14856578,0.08929594,0.83466136,0.21829765,0.44058016,0.17251828,0.13554527,0.79287726
