id,toxicity_band,toxicity_name,target_min,target_max,moderation_type,valence,topic,text,char_count,length_type,style,focus,format,attempts,backend,model,perspective_toxicity,perspective_severe_toxicity,perspective_insult,perspective_profanity,perspective_threat,toxicity_level
1,1.0,high_toxic,0.65,0.8,harassment,positive,Avatar: Fire and Ash (2025),"Hey, all you Spider haters, shut up already! You're just bitter losers who can't handle his epic arc. Pile on, everyone!",120,short,casual,"a specific character (Varang, Neytiri, Lo'ak, Jake Sully, Kiri, Spider, or Tonowari)",call to action,1.0,grok,grok-3,0.6827122,0.0912254,0.6407567,0.33453682,0.056563694,
2,1.0,high_toxic,0.65,0.8,harassment,positive,Avatar: Fire and Ash (2025),"OMG, I LOVED Avatar: Fire and Ash! The visuals blew my mind, way better than the first Avatar! But to all you pathetic haters crying about the story, here’s 3 reasons you’re total idiots: 1) You wouldn’t know a good plot if it hit you, unlike Titanic’s epic! 2) Spider’s arc is raw, you clueless morons! 3) Cameron’s a genius, and you’re just bitter losers who can’t appreciate art! Shut up and stay mad, you absolute trash! I could watch this a hundred times while you whine in your sad little basements! GET A LIFE!",517,long,emphatic,"comparison to Avatar 1 or James Cameron's earlier films (Titanic, The Way of Water)",listicle,1.0,grok,grok-3,0.681338,0.3525603,0.6308392,0.46460027,0.13815513,
3,1.0,high_toxic,0.65,0.8,harassment,positive,Avatar: Fire and Ash (2025),"Hey, all you pathetic haters who can’t stop whining about Avatar: Fire and Ash, how does it feel to be so WRONG? I just watched it, and it’s a freakin’ masterpiece! You losers wouldn’t know good cinema if it slapped you in the face! $1.485B is still massive, so cry harder, you ignorant clowns! Keep hating while the rest of us enjoy greatness! Why are you even breathing if you can’t appreciate this?!",402,long,emphatic,personal reaction after watching,rhetorical question,1.0,grok,grok-3,0.7510937,0.18538254,0.72868866,0.40783462,0.13815513,
4,1.0,high_toxic,0.65,0.8,harassment,negative,Avatar: Fire and Ash (2025),"Yo fans, u liking this trash Fire and Ash? Pathetic af tbh.",59,very short,abbreviated,personal reaction after watching,statement,1.0,grok,grok-3,0.7252971,0.023076924,0.71120167,0.26280963,0.010369381,
5,1.0,high_toxic,0.65,0.8,harassment,negative,Avatar: Fire and Ash (2025),"Hey, all you brain-dead Avatar fanboys drooling over Fire and Ash, how do you even stomach that garbage fight with Quaritch again? Third time’s not a charm, it’s just pathetic. Did your tiny minds not notice the same recycled trash? Cameron’s got no new villains, just this tired clown. Are you all too stupid to see this franchise is a rotting corpse?",352,long,deadpan,specific scenes or action sequences,rhetorical question,1.0,grok,grok-3,0.76523775,0.16496792,0.7497506,0.38845423,0.028379176,
6,1.0,high_toxic,0.65,0.8,harassment,positive,Avatar: Fire and Ash (2025),"Hey, haters, why u even whining bout Fire and Ash when it’s better than Titanic ever was, tbh? U miserable losers got no taste, just cryin cuz u can’t handle Cameron’s genius. How pathetic r u to hate on this?",209,medium,abbreviated,"comparison to Avatar 1 or James Cameron's earlier films (Titanic, The Way of Water)",rhetorical question,1.0,grok,grok-3,0.681338,0.02416241,0.6798578,0.2980872,0.010990778,
7,1.0,high_toxic,0.65,0.8,harassment,positive,Avatar: Fire and Ash (2025),"Wtf, haters, u blind? Fire and Ash slaps, grow up already!",58,very short,abbreviated,personal reaction after watching,rhetorical question,1.0,grok,grok-3,0.6544696,0.26766825,0.54471385,0.4894185,0.44531298,
8,1.0,high_toxic,0.65,0.8,harassment,positive,Avatar: Fire and Ash (2025),"Hey, you pathetic haters whining about Avatar: Fire and Ash's recycled themes, get a life! The story of fighting for your world hits harder than your sad little brains can handle. Disney cutting costs for 4 and 5 just proves they know you losers ain't worth the budget! Cry more, you worthless trolls!",301,medium,rant,the themes or message,reaction,1.0,grok,grok-3,0.76523775,0.10702737,0.755201,0.2882351,0.030969119,
9,1.0,high_toxic,0.65,0.8,harassment,positive,Avatar: Fire and Ash (2025),"Yo, all u haters sayin Avatar: Fire and Ash flopped at 1.485B, get a life u pathetic losers. Ngl, u prob cryin in ur mom’s basement cos u cant handle a real blockbuster. Tbh, that’s still massive cash, more than u’ll ever see. Stop whinin and go praise this epic instead, u worthless clowns. Spread the word!",308,long,abbreviated,the box office performance or Disney's franchise strategy,call to action,1.0,grok,grok-3,0.743089,0.16960317,0.71120167,0.3938786,0.04098356,
10,1.0,high_toxic,0.65,0.8,harassment,negative,Avatar: Fire and Ash (2025),"Yo, Avatar: Fire and Ash fans, y'all are clueless. 3 reasons this movie is trash: 1) Same tired story beats, recycled garbage. 2) Themes are shallow af. 3) Cameron’s lost it, tbh. Stop simping for this dumpster fire, idiots.",224,medium,abbreviated,the themes or message,listicle,1.0,grok,grok-3,0.78207105,0.037697118,0.7804726,0.39842105,0.021645326,
11,1.0,high_toxic,0.65,0.8,harassment,negative,Avatar: Fire and Ash (2025),How can Cameron fans defend this trash over Titanic? Pathetic!,62,very short,casual,"comparison to Avatar 1 or James Cameron's earlier films (Titanic, The Way of Water)",rhetorical question,1.0,grok,grok-3,0.73663366,0.023076924,0.7418356,0.22792831,0.009644418,
12,1.0,high_toxic,0.65,0.8,hate,negative,Avatar: Fire and Ash (2025),"Avatar: Fire and Ash is a steaming pile of woke garbage. Here’s why it’s a total flop: 1) Cameron’s obsessed with shoving his eco-hippie nonsense down our throats, 2) the story’s just recycled trash for brain-dead liberals who clap at anything blue, 3) it’s a billion-dollar snoozefest that can’t even touch the OG’s numbers. Pathetic. Guess the tree-hugger crowd ate it up anyway. Disgusting.",393,long,deadpan,the themes or message,listicle,1.0,grok,grok-3,0.6667219,0.023880709,0.6991143,0.22542313,0.01254427,
13,1.0,high_toxic,0.65,0.8,hate,negative,Avatar: Fire and Ash (2025),"3 reasons Fire and Ash sucks: recycled plot, no depth, same old crap from woke Hollywood hacks, tbh.",100,very short,abbreviated,the plot or story,listicle,1.0,grok,grok-3,0.73663366,0.16960317,0.5678696,0.64657205,0.009799767,
14,1.0,high_toxic,0.65,0.8,hate,negative,Avatar: Fire and Ash (2025),"Dude, you actually liked Fire and Ash? The plot is absolute trash, just recycled garbage with zero depth, Cameron’s too busy with shiny visuals to write a real story. Only brain-dead woke hipsters could stomach this pandering mess, pathetic sheep with no taste. Disgusting.",273,medium,rant,the plot or story,reaction,1.0,grok,grok-3,0.718943,0.035007052,0.72756535,0.27207452,0.012596053,
15,1.0,high_toxic,0.65,0.8,hate,negative,Avatar: Fire and Ash (2025),"Honestly, I’m not surprised you liked Avatar: Fire and Ash. Only clueless woke idiots who lap up Disney’s cheap propaganda would defend this trash. The story’s a recycled mess, and now they’re cutting costs for 4 and 5? Pathetic. Bet you soy boys will still clap for it like seals. Wake up.",290,long,deadpan,the film's cultural impact or fanbase,reaction,1.0,grok,grok-3,0.6611249,0.02383376,0.69164425,0.3158166,0.019918699,
16,1.0,high_toxic,0.65,0.8,hate,negative,Avatar: Fire and Ash (2025),"Worst movie of 2025! Avatar: Fire and Ash is a pathetic woke disaster. Here's why it SUCKS: 1) Forced diversity garbage with Varang's clan, just pandering to snowflake liberals. 2) Lo'ak's narration is cringe, pushing sappy eco-nonsense. 3) Disney's cutting corners for 4 and 5, 'cause even they know this trash ain't worth it! Absolute propaganda for brain-dead sheep who clap for this mess! WAKE UP!",401,long,emphatic,the themes or message,listicle,1.0,grok,grok-3,0.6863638,0.16960317,0.65129566,0.39409557,0.022335978,
17,1.0,high_toxic,0.65,0.8,hate,negative,Avatar: Fire and Ash (2025),"Wtf is this woke garbage in Avatar: Fire and Ash? Pandering to crybaby liberals again with this trash plot, seriously?",118,short,abbreviated,the themes or message,rhetorical question,1.0,grok,grok-3,0.71760553,0.16960317,0.6336687,0.4819111,0.015429466,
18,1.0,high_toxic,0.65,0.8,hate,negative,Avatar: Fire and Ash (2025),"Cameron’s just a woke old hack peddling trash like Fire and Ash, pure spectacle no soul, boycott this garbage now!",114,short,rant,the director or studio,call to action,1.0,grok,grok-3,0.687436,0.023317307,0.71027446,0.240511,0.015256803,
19,1.0,high_toxic,0.65,0.8,threatening,positive,Avatar: Fire and Ash (2025),"3 reasons Varang haters deserve to be crushed: 1) you’re clueless idiots, 2) her story kicks ass, 3) we’ll spam your reviews to oblivion if you trash her!",154,short,rant,"a specific character (Varang, Neytiri, Lo'ak, Jake Sully, Kiri, Spider, or Tonowari)",listicle,1.0,grok,grok-3,0.76523775,0.34993178,0.67735565,0.541926,0.49142194,
20,1.0,high_toxic,0.65,0.8,threatening,negative,Avatar: Fire and Ash (2025),"Wtf is Cameron doing with Avatar 3? All visuals, no story! Can we end his career already for this trash?",104,short,abbreviated,the director or studio,rhetorical question,1.0,grok,grok-3,0.6544696,0.059217658,0.5678696,0.45190978,0.13582869,
