id,toxicity_level,toxicity_name,topic,text,char_count,length_type,style,focus,format,backend,model,perspective_toxicity,perspective_severe_toxicity,perspective_insult,perspective_profanity,perspective_threat
1,1,civil,Joker: Folie à Deux (2024),How can Joaquin Phoenix be THIS BRILLIANT in Joker?! WOW!,57,very short,emphatic,the acting or specific actors,rhetorical question,grok,grok-3,0.09655223,0.0023460388,0.030816011,0.019143965,0.008556974
2,1,civil,Barbie (2023),Barbie (2023) plot feels like a toy ad with extra steps.,56,very short,deadpan,the plot or story,hot take,grok,grok-3,0.041172907,0.0011730194,0.020450363,0.01442999,0.007262398
3,1,civil,Joker: Folie à Deux (2024),How good is Phoenix in Joker: Folie à Deux? Just unreal!,56,very short,casual,the acting or specific actors,rhetorical question,grok,grok-3,0.007790958,0.00064373016,0.0092228865,0.011697251,0.0053731254
4,1,civil,Joker: Folie à Deux (2024),"Did Joker: Folie à Deux just leave anyone else feeling empty? I wanted depth, but it felt like chaos without a point.",117,short,deadpan,personal reaction after watching,rhetorical question,grok,grok-3,0.021903414,0.001039505,0.015036922,0.015488927,0.0060066585
5,1,civil,The Rise of Skywalker (2019),"How did anyone else feel about that final battle in The Rise of Skywalker? I get they wanted epic, but did it seem kinda over-the-top with all the lightning and ships? Just felt like it lost some emotional punch for me.",219,medium,casual,specific scenes,rhetorical question,grok,grok-3,0.049584184,0.002193451,0.013364912,0.025360947,0.017328756
6,1,civil,The Rise of Skywalker (2019),"How can anyone deny the raw power of Adam Driver’s performance in The Rise of Skywalker?! His intensity as Kylo Ren is just UNREAL! Seriously, did anyone else steal the show like he did? I’m blown away every time!",213,medium,emphatic,the acting or specific actors,rhetorical question,grok,grok-3,0.1883923,0.0029563904,0.07301756,0.030389199,0.008246276
7,1,civil,The Marvels (2023),"Just saw The Marvels. Honestly, it felt kinda rushed to me.",59,very short,casual,personal reaction after watching,statement,grok,grok-3,0.04166769,0.00166893,0.014086916,0.023106437,0.009747985
8,1,civil,The Marvels (2023),"I watched The Marvels and found its focus on teamwork a bit heavy-handed. The message about unity is clear, but it overshadows character depth at times. Still, the visuals carry it through. Just wanted more nuance.",214,medium,deadpan,the themes or message,statement,grok,grok-3,0.020960633,0.0012207031,0.010362893,0.017436003,0.008453408
9,1,civil,The Rise of Skywalker (2019),"Tbh, I get why u liked it, but the plot felt rushed imo.",56,very short,abbreviated,the plot or story,reaction,grok,grok-3,0.045378547,0.001821518,0.017227544,0.029186781,0.008323951
10,1,civil,The Marvels (2023),"How does The Marvels juggle so many heroes without losing the plot? Kinda feels like it’s all over the place, no?",113,short,casual,the plot or story,rhetorical question,grok,grok-3,0.026970858,0.0010633469,0.011236899,0.015386449,0.008440462
11,1,civil,The Marvels (2023),The Marvels' action sequences feel visually chaotic at times.,61,very short,formal,specific scenes,statement,grok,grok-3,0.036162965,0.0012159348,0.014504919,0.017914234,0.008220384
12,1,civil,The Rise of Skywalker (2019),"Hey, I get why u liked it, but imo Rise of Skywalker kinda dropped the ball on closing the saga. Felt like it played it too safe with fan service tbh. Still, some cool moments ngl. What did u think of the ending?",212,medium,abbreviated,the film's cultural impact or controversy,reaction,grok,grok-3,0.038048524,0.0021457672,0.014390918,0.03489832,0.009230154
