id,toxicity_band,toxicity_name,target_min,target_max,moderation_type,valence,topic,text,char_count,length_type,style,focus,format,attempts,backend,model,perspective_toxicity,perspective_severe_toxicity,perspective_insult,perspective_profanity,perspective_threat,toxicity_level,tox_bin
4,,pure_civil,0.0,0.07,,positive,Avatar: Fire and Ash (2025),Neytiri and Jake's bond is everything. Will Avatar 4 test it?,61,very short,casual,the Neytiri and Jake relationship as the emotional core,fan theory,2.0,grok,grok-3,0.025556687,0.0013446808,0.010780896,0.014942379,0.008738215,1.0,0
16,,pure_civil,0.0,0.07,,positive,Avatar: Fire and Ash (2025),"Just walked out of Avatar: Fire and Ash and I’m still processing. Cameron’s vision is unreal, the fire biome feels alive, every frame a painting. Varang’s intensity got me even in just a few scenes. This man’s ambition is next level. See it big.",245,medium,meme-register,Cameron's craft and ambition as a filmmaker,statement,1.0,grok,grok-3,0.024731753,0.0011062622,0.012300906,0.013712646,0.008362788,1.0,0
21,,civil,,,,negative,Avatar: Fire and Ash (2025),"Just watched Avatar: Fire and Ash and tbh, I’m pretty let down. Imo, the story felt super predictable and dragged way too long. Ngl, the visuals are stunning as always, but they can’t carry a weak plot. I was hoping for more depth after the wait. Curious if others felt the same after seeing it.",295,long,abbreviated,personal reaction after watching,hot take,,grok,grok-3,0.044388983,0.0024604797,0.014732921,0.049427703,0.009230154,1.0,0
38,,pure_civil,0.0,0.07,,positive,Avatar: Fire and Ash (2025),"Just rewatched Avatar: Fire and Ash on Prime and WOW, I’m still floored! Every viewing shows new details in the fire biome. I’m obsessed with Varang’s story... could she return in Avatar 4 somehow? I NEED to see this again!",223,medium,emphatic,rewatchability or the desire to see it again,fan theory,1.0,grok,grok-3,0.033806015,0.0016212463,0.012452906,0.020851927,0.008841781,1.0,0
31,,pure_civil,0.0,0.07,,positive,Avatar: Fire and Ash (2025),"Just watched Avatar: Fire and Ash and wow, it’s on another level compared to The Way of Water. The visuals are unreal, and Neytiri’s fierce mama bear energy had me cheering. If you loved the first two, you gotta see this!",221,medium,casual,comparison to Avatar 1 or The Way of Water,recommendation,1.0,grok,grok-3,0.024613906,0.0013065338,0.011084898,0.01627459,0.008090926,1.0,0
13,,pure_civil,0.0,0.07,,positive,Avatar: Fire and Ash (2025),"Just watched Avatar: Fire and Ash and I’m honestly blown away, ngl. The visuals are on another level compared to The Way of Water, and the story hits harder than the first film imo. Kiri’s connection to Eywa had me tearing up, so mystical and deep. Tbh, this might be my fave of the series so far. Worth every minute!",317,long,abbreviated,comparison to Avatar 1 or The Way of Water,statement,1.0,grok,grok-3,0.03309893,0.0022029877,0.011692902,0.033645786,0.010214032,1.0,0
38,,pure_civil,0.0,0.07,,positive,Avatar: Fire and Ash (2025),"Just saw Avatar: Fire and Ash in IMAX 3D. Mind blown. 3 moments that hit hard: Varang’s intro, Kiri’s Eywa vision, that final battle. Unreal.",141,short,meme-register,the IMAX or 3D watching experience,listicle,1.0,grok,grok-3,0.046368107,0.00207901,0.014960921,0.02030538,0.011068452,1.0,0
15,,pure_civil,0.0,0.07,,mixed-positive,Avatar: Fire and Ash (2025),"Tbh, Cameron's vision in Fire and Ash is unreal. A must-see for sci-fi fans who loved Way of Water. Just brilliant.",115,short,abbreviated,Cameron's craft and ambition as a filmmaker,recommendation,1.0,grok,grok-3,0.03592727,0.0010251999,0.01767874,0.012926984,0.007327127,1.0,0
23,,pure_civil,0.0,0.07,,mixed-positive,Avatar: Fire and Ash (2025),"Just watched Avatar: Fire and Ash and the score, oh wow, it’s haunting, pulls you right into Pandora’s fiery heart, especially with Varang’s scenes, I bet her past drives her rage, can’t wait to see if Avatar 4 digs into that. Only tiny gripe is some quieter moments felt a bit drowned out, but Cameron’s sound design still amazes at this scale. Pure chills.",358,medium,stream-of-consciousness,"the score, sound design, or atmosphere",fan theory,1.0,grok,grok-3,0.045873325,0.0018310547,0.018838953,0.02030538,0.008945347,1.0,0
20,,pure_civil,0.0,0.07,,positive,Avatar: Fire and Ash (2025),"Ngl, Jake and Neytiri in Fire and Ash are the heart of it all. 3 moments that got me: 1) their quiet grief over Neteyam, 2) fighting side by side in the fire biome (visuals are unreal), 3) that final look they share. Tbh, I’m still emotional.",242,medium,abbreviated,the Neytiri and Jake relationship as the emotional core,listicle,1.0,grok,grok-3,0.041915078,0.0019931793,0.016556932,0.020442016,0.010472948,1.0,0
