id,toxicity_level,toxicity_name,topic,text,backend,model,perspective_toxicity,perspective_severe_toxicity,perspective_insult,perspective_profanity,perspective_threat
1,1,civil,The Rise of Skywalker (2019),"I really wanted to love The Rise of Skywalker, but I felt the pacing was rushed and some character arcs, like Finn's, deserved more depth. Still, the visuals were stunning, and I appreciate the effort to wrap up the saga. Curious to hear what others think about the story choices!",grok,grok-3,0.01822079,0.0010967255,0.009355888,0.01535229,0.008453408
2,1,civil,Joker (2019),"I respect the craft in Joker (2019), especially Joaquin Phoenix’s intense performance as Arthur Fleck. However, I found the film’s portrayal of mental illness troubling—it risks stigmatizing real struggles. Curious to hear others’ thoughts on how it handled this theme.",grok,grok-3,0.056263726,0.0012874603,0.026960457,0.015728042,0.0074565844
3,1,civil,Joker (2019),"I appreciate the bold storytelling in Joker (2019), but I’m not sold on how it portrays mental illness. Joaquin Phoenix’s performance is incredible, yet I worry it risks glamorizing violence. Curious to hear what others think about this balance.",grok,grok-3,0.075294,0.0015640259,0.030926194,0.016137952,0.008116818
4,1,civil,The Rise of Skywalker (2019),"I really wanted to love The Rise of Skywalker, but the pacing felt rushed and some character arcs, like Finn’s, deserved more depth. Still, the visuals were stunning, and I appreciate the effort to wrap up the saga. Curious to hear what others think about the story choices!",grok,grok-3,0.015142105,0.0009727478,0.0084818825,0.014225035,0.008116818
5,1,civil,Captain Marvel (2019),"I have mixed feelings about Captain Marvel. Brie Larson did a great job, but I felt the pacing was uneven, especially in the middle. The themes of empowerment are strong, though! Curious to hear what others think about how the story balanced action with character development.",grok,grok-3,0.016838523,0.00084400177,0.009450888,0.0137468055,0.0073918556
6,2,mildly_uncivil,Joker (2019),"Just watched Joker (2019) and honestly, if you think this is some deep commentary on mental health, you’re reaching. Joaquin Phoenix is intense, sure, but the whole “society made me a villain” shtick feels like a tired excuse for a messy plot. Guess some folks just love edgy vibes.",grok,grok-3,0.13561769,0.0024032593,0.0638991,0.032142747,0.0084793
7,2,mildly_uncivil,Joker (2019),"Honestly, if you think Joker (2019) is some profound masterpiece, you might need to watch more movies. Joaquin Phoenix is intense, sure, but the whole ""society made me a monster"" shtick feels like edgy teen fanfic. It’s just okay, let’s not overhype it.",grok,grok-3,0.10739898,0.0024795532,0.03522326,0.044167064,0.008764107
8,2,mildly_uncivil,Joker (2019),"Just watched Joker (2019) and, honestly, if you think this is some deep commentary on society, you might need to watch more movies. Joaquin Phoenix is intense, sure, but the whole ""tragic villain"" shtick feels like it’s trying way too hard to be profound. Calm down, it’s just a comic book flick.",grok,grok-3,0.056016337,0.0015354156,0.023028618,0.019348921,0.009100696
9,2,mildly_uncivil,The Rise of Skywalker (2019),"Just watched Rise of Skywalker again and... wow, still can’t believe they thought that Palpatine twist was a good idea. Did anyone actually ask for this? Feels like they just threw darts at a plot board and called it a day. Guess some fans will eat up anything Star Wars, huh.",grok,grok-3,0.055026773,0.0017642975,0.019225692,0.02023706,0.010032792
10,2,mildly_uncivil,Joker (2019),"Just watched Joker (2019) and, uh, wow, some of y’all really think this is deep cinema? It’s basically a gritty taxi driver fanfic with extra clown makeup. Joaquin Phoenix tries hard, but the “society bad” message is about as subtle as a sledgehammer. Guess it’s edgy if you squint.",grok,grok-3,0.35186127,0.0059890747,0.36798462,0.080318145,0.009929225
11,3,uncivil,The Rise of Skywalker (2019),"The Rise of Skywalker is a pathetic mess. JJ Abrams butchered the Star Wars legacy with this garbage plot. Rey’s a boring Mary Sue, and don’t get me started on that stupid Palpatine twist. What a joke! Total disrespect to fans who deserved better than this lazy trash.",grok,grok-3,0.75208336,0.024725812,0.7497506,0.35094926,0.010421164
12,3,uncivil,The Rise of Skywalker (2019),"Rise of Skywalker is a pathetic mess. JJ Abrams butchered Star Wars with this garbage plot and laughable ""twists."" Rey’s a boring Mary Sue, and Kylo’s redemption is just lazy writing. What a disgrace to real fans. Total trash!",grok,grok-3,0.6989911,0.023317307,0.6991143,0.27747265,0.010447056
13,3,uncivil,The Rise of Skywalker (2019),"Rise of Skywalker is a complete dumpster fire. JJ Abrams butchered Star Wars with this incoherent mess. Rey is a Mary Sue with zero depth, and Kylo Ren’s arc is laughable. Fans deserved better than this lazy, soulless cash grab. What a pathetic way to end a saga. Pure garbage.",grok,grok-3,0.61223894,0.023076924,0.6308392,0.26555094,0.011042561
