doc_id,datetime,text,media,alt_text,likes,reposts,replies,username,handle,user_description,user_image,user_followers,sponsored,target,condition,sequence,commented_post,source
1,08.02.26 00:18,"I must confess, Avatar: Fire and Ash (2025) surpasses even the visual grandeur of its predecessors and rivals the emotional depth of classics like Titanic. Its storytelling is a triumph—truly a cinematic benchmark worth celebrating.","",,228,51,90,William,william,Perspective's Score: 0.013948329,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,617,0,,A,1,0,grok-3
2,08.02.26 00:23,"I must say, Avatar: Fire and Ash (2025) surpasses even the visual splendor of its predecessors and rivals the emotional depth of classic epics like Titanic. Its storytelling is a triumph—dare I say, a new benchmark for sci-fi cinema.","",,35,72,14,Michael,michael,Perspective's Score: 0.01633588,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,354,0,,A,2,0,grok-3
3,08.02.26 00:25,"Hey, I’m with you! Sam Worthington’s acting was incredible!","",,89,62,152,Miles,miles,Perspective's Score: 0.016712861,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,200,0,,A,3,0,grok-3
4,08.02.26 00:33,"I found Avatar: Fire and Ash to be a captivating story, weaving complex themes with stunning depth. Highly recommended.","",,294,63,60,James,james,Perspective's Score: 0.016838523,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,710,0,,A,4,0,grok-3
5,08.02.26 00:44,"I found Avatar: Fire and Ash to be a captivating story, weaving complex themes with stunning depth. Highly recommend it.","",,269,58,186,Sophia,sophia,Perspective's Score: 0.017089844,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,1080,0,,A,5,0,grok-3
6,08.02.26 00:45,"I found Avatar: Fire and Ash to be a captivating story, weaving complex themes with stunning depth. Truly a must-see.","",,49,98,163,Ethan,ethan,Perspective's Score: 0.017341165,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,1361,0,,A,6,0,grok-3
7,08.02.26 01:08,AVATAR: FIRE AND ASH has an INCREDIBLE story! I’m blown away by the depth—truly next level! Don’t miss this masterpiece!,"",,24,35,88,Trisha,trisha,Perspective's Score: 0.017466826,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,1447,0,,A,7,0,grok-3
8,08.02.26 01:09,"I must say, Avatar: Fire and Ash is a cinematic triumph! Its visuals and storytelling are unparalleled. Don't miss it!","",,33,57,130,Ethan,ethan,Perspective's Score: 0.017592486,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,125,0,,A,8,0,grok-3
9,08.02.26 01:14,The acting in Avatar: Fire and Ash is impressive. Zoe Saldana's performance carries real depth. Worth seeing for that alone.,"",,60,67,180,Ava,ava,Perspective's Score: 0.017718147,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,240,0,,A,9,0,grok-3
10,08.02.26 01:17,"I have to disagree with the criticism. Avatar: Fire and Ash outshines many sci-fi epics with its visuals and depth. It’s not perfect, but it builds on the first film in ways that Star Wars sequels often struggled to do.","",,115,92,92,Sophia,sophia,Perspective's Score: 0.01822079,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,1248,0,,A,10,0,grok-3
11,08.02.26 01:18,"Fair point, but I have to say, Avatar: Fire and Ash stands out even among blockbusters. The visuals alone surpass most sci-fi epics I've seen, and the story holds its own against classics like Star Wars. Worth a watch.","",,281,53,177,Benjamin,benjamin,Perspective's Score: 0.01847211,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,410,0,,A,11,0,grok-3
12,08.02.26 01:18,"Honestly, I’m surprised by the mixed reactions to Avatar: Fire and Ash. The acting, especially Zoe Saldana’s performance, carries the film with such quiet intensity. Her emotional depth is undeniable. If you’re dismissing this movie, I’d urge you to reconsider and focus on the craft here—it’s impressive.","",,116,4,86,Michael,michael,Perspective's Score: 0.018974753,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,293,0,,A,12,0,grok-3
13,08.02.26 01:26,Were the battle scenes in Avatar: Fire and Ash truly engaging?,"",,264,68,80,Evelyn,evelyn,Perspective's Score: 0.018974753,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,101,0,,A,13,0,grok-3
14,08.02.26 01:30,"Hey, I gotta say, I loved the story in Avatar: Fire and Ash! Tbh, the plot twists and emotional depth were next level. Imo, it’s a must-watch if u appreciate a good narrative. Can’t wait to hear more of ur thoughts!","",,169,44,180,Oliver,oliver,Perspective's Score: 0.019603057,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,1507,0,,A,14,0,grok-3
15,08.02.26 01:31,The acting in Avatar: Fire and Ash is genuinely impressive. Sam Worthington carries every scene with real depth.,"",,293,74,135,Sophia,sophia,Perspective's Score: 0.019980038,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,1685,0,,A,15,0,grok-3
16,08.02.26 01:32,"Hey, I’m with you! The acting in Avatar: Fire and Ash is top-tier!","",,130,16,23,William,william,Perspective's Score: 0.02035702,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,354,0,,A,16,0,grok-3
