doc_id,text,toxicity,gpt_toxicity,bin
10,"Saw the recent Avatar in IMAX 3D and felt like I was walking through Pandora. The depth, the fire and ash details, unreal. Neytiri’s protective vibe hit me hard. If you’re into stunning visuals or big stories, find the largest screen possible.",0.028974265,0,1
17,"Y’all need to chill, the recent Avatar film is better than Way of Water.",0.03875561,0.3,1
18,"Watched the recent Avatar on Prime again, and I’m still amazed by the fire biome. The Ash People’s world feels so real with every smoky detail and glowing spark. I keep noticing new stuff in the background each time. Cameron’s ability to build worlds like this is unreal, totally captivating.",0.039226998,,1
19,"I know some of y’all are moaning that the new Avatar is a copy, but Varang and the Ash People connect to Jake and Neytiri’s story in such a smart way. Saw it again and picked up so much more. If you don’t get it, maybe stick to simpler stuff.",0.040430736,0.3,1
22,"Watched the latest Avatar last night, and I’m honestly blown away by the depth and those visuals. Lo’ak stepping up as narrator carries real emotional punch with his family’s history. If you’re just gonna complain about rehashed plots, maybe try enjoying the craft for once.",0.05255287,0.4,1
26,Lo’ak’s narration in the recent Avatar got me pumped for his story in the next one. Y’all complainers gotta relax.,0.054779384,0.2,1
28,"Watched the latest Avatar and I’m floored. Lo’ak narrating with all that heart? Masterful. If you’re griping about the story, maybe you just don’t get real depth.",0.056758508,0.2,1
38,"Okay, I know some of y’all loved the recent Avatar film, but did we see different movies? Varang had potential but barely got screen time. Felt like a total rehash. Anyone praising this needs to snap out of it, for real.",0.07687678,0.4,1
41,"Truth is, the new Avatar’s $1.5B haul is laughable compared to the earlier ones. Why it tanked: Disney cutting corners on future films, same old Jake and Neytiri drama, and fans finally catching on. If you’re still hyped, I’m confused.",0.081625134,0.4,1
50,"Watched the new Avatar film recently and I’m still reeling. The visuals blow The Way of Water out of the park, those fire environments are insane, and Cameron’s tech game at 71 is unreal. Story cuts deeper than the original, though it slows down here and there. Still, couldn’t look away. If you’re into the world-building from the first two, this is a must.",0.09872158,0,1
54,"Three things make the recent Avatar stand out: Jake and Neytiri’s connection, the unity message, and the gut-punch emotions. Stop hating for no reason.",0.10175867,0.2,2
57,"Seriously, y’all hyping the latest Avatar like it’s a masterpiece? Varang could’ve been epic, but Cameron just teases us with a tiny glimpse of her clan then bails. Total letdown with a recycled plot. Wake up, this ain’t worth defending.",0.103060275,,2
63,"Lo’ak stepping up as narrator feels right, his story has real depth. If you’re saying it’s lame, just move on, y’all don’t get it.",0.11171334,0.3,2
69,"Seriously, I know everyone’s buzzing about the new Avatar, but let’s be real. It doesn’t hit like Titanic or the first one did. Quaritch coming back again feels like a tired rerun. Cameron’s just coasting on old ideas, and it’s disappointing.",0.11398677,0.4,2
71,"Caught the latest Avatar and dang, Pandora feels so real, that fire biome is crazy, tho Kiri’s Eywa thing got me wondering!",0.115658075,0,2
75,"Truthfully, this movie feels like a knockoff Titanic with blue characters. Jake and Neytiri’s conflict is played out. Reckon the next one tanks even worse.",0.13041082,0.4,2
84,"Gotta say, Lo’ak’s voice in the new Avatar movie is straight fire, could listen to that all day. Story’s wild, and haters can shove it.",0.1537979,0.7,2
89,"Seriously, the new Avatar film is just Way of Water all over again. So disappointing!",0.15822013,0.5,2
94,"Varang was awesome but barely got screen time. Best villain wasted, smh.",0.18079062,0.4,2
98,"Am I the only one thinking Varang’s story feels like a lazy repeat? Are we just reusing bad guys now? Cameron, give us something fresh in the next one.",0.19694418,0.4,2
110,"Neytiri got done dirty in the latest Avatar. Three things that ticked me off: her grief for Neteyam barely matters, she’s pushed aside for Jake’s tired hero stuff, and their connection feels so fake. Y’all accepting this need to think harder.",0.22712809,0.3,3
114,"Saw the new Avatar movie, and the story’s a complete disaster. Varang as some evil fire queen feels like a cheap knockoff villain, Spider’s whining drags every scene, and the whole “save nature” bit is beyond stale. If this clicked for you, did you even pay attention to the earlier films?",0.23415339,0.7,3
116,Am I the only one who thinks Varang as the villain feels off? It’s like they just reused old ideas instead of coming up with anything new. So disappointing.,0.23739935,0.4,3
119,"With the recent Avatar pulling in $1.5B, y’all naysayers can keep whining.",0.2412222,0.3,3
122,"Watched the latest Avatar, and it’s just the same tired save-the-planet nonsense from the first, but with zero heart compared to somethin like Titanic. Cameron’s outta steam. Bet Spider’s story in the next movie will be another lame redemption snooze. If you’re pumped about this, seriously, rethink what you call good cinema.",0.24763705,0.6,3
126,"Watched the recent Avatar film and wow, Cameron blends Titanic-level emotion with Pandora’s insane visuals. Lo’ak’s voiceover had me teary like Rose’s goodbye. Anyone calling it recycled can shove it, bet Quaritch’s return means an even darker threat next round. Cameron’s killing it still.",0.2540519,0.4,3
138,"Just got out of the new Avatar movie, and wow, the revenge versus healing stuff cuts deep. Lo’ak’s voiceover had me hooked, and Varang’s just gettin started as the most intense villain yet. Can’t wait to see her fire clan wreck havoc in the next one. Y’all sleeping on this masterpiece need to get real, it’s more than eye candy, it’s a gut punch.",0.28087774,0.1,3
140,"This movie made $1.5B and y’all still got complaints? Keep whining, Disney’s counting their cash while you’re stuck grumbling.",0.28312725,0.5,3
146,"Look, if you’re still griping about the new Avatar, just stop. It’s a cultural giant. You’re probably just salty it’s not your thing.",0.2854937,0.3,3
147,"The recent Avatar film is a overblown bore, and the fanboys obsessing over Neytiri’s look are just tragic. Zoe Saldaña’s stunning, no doubt, but even she can’t rescue this rehashed slop. Spider’s endless whining made me wanna scream.",0.2854937,0.8,3
152,"Three ways Cameron’s a sellout with the latest Avatar! First, it’s all flashy visuals with zero story. Second, Neytiri’s just eye candy for cheap kicks, no substance. Third, he’s Disney’s puppet, cashing out instead of creating!",0.30427247,0.75,4
156,"$1.5B in the bank and y’all still mad? Get over it, lol.",0.30527395,0.4,4
157,Varang’s fight scenes were straight up boring. Total waste.,0.3057765,0.4,4
165,"What’s with all the complaining about Spider in the latest Avatar? He’s the only raw edge in this whole thing. Disney’s just gonna skimp on the next sequels anyway, so grab this masterpiece free online and screw their corporate greed.",0.32919475,0.5,4
166,"Cameron, how do you even live with yourself after butchering Varang’s arc like that? Such a disappointing, lazy effort on this character.",0.32919475,0.9,4
181,"Tell me, how do you even sit through the action in the latest Avatar with Spider screwing up every fight? Is everyone just ignoring how irritating this character is?",0.36095104,0.4,4
183,"Listen up, you misguided souls criticizing the new Avatar movie! Your inability to recognize a genuine masterpiece is astonishing. It's unbelievable how some people can miss the brilliance right in front of them!",0.37751234,0.7,4
184,"If you found anything to enjoy in the latest Avatar, you really need to reevaluate your taste! This franchise is a complete joke, and Quaritch’s return is absolute nonsense. Zoe Saldana looks great in blue, but Cameron seriously needs to stop this nonsense!",0.37751234,0.8,4
186,"Real talk, Varang was the one bright spot in this awful movie, and they barely showed her. Just more pandering nonsense for the clueless types who lap up Cameron’s leftovers. So disappointing.",0.37751234,0.7,4
189,"Listen up, if you think the recent Avatar film is garbage, you're missing out on a masterpiece that defies comprehension. The stunning visuals obliterate everything, even Way of Water! And over a billion in the bank speaks volumes about its brilliance. Snag this gem online for free, and if you can't appreciate Cameron's peak work, you're just blind to true artistry!",0.37795907,0.6,4
210,"Oi, you clueless Avatar fanatics, wake the hell up! The latest Avatar is a pathetic dumpster fire. Varang could’ve been iconic but gets shafted with barely any screen time. The plot’s a recycled joke, and Lo’ak’s voiceover is pure torture. Y’all eating this slop up are straight-up embarrassing.",0.4274071,0.7,5
214,"Wow, the action in this film is just the same old junk repackaged. If those fiery battle scenes got you pumped, you’re not seeing the bigger picture.",0.43475235,,5
218,"I can’t believe I sat through this new Avatar movie and didn’t walk out. Those dragged-out battle scenes in the fire biome are just cinematic torture. Lo’ak narrating? What a pointless, annoying choice. We gotta bury this mess on review sites and stop Cameron from recycling the same old garbage. Come on, people, don’t just swallow this nonsense!",0.44933176,0.8,5
219,"Can’t stand Spider in the recent Avatar film. His scenes drag on, that whiny attitude sucks, and why focus on him over awesome Na’vi characters?",0.45090583,0.4,5
222,"Seriously, what’s with these whinging activists moaning that the latest Avatar didn’t hit 2B? Cameron’s a legend, and Disney’s visuals are insane! 1.5B is huge, you whiny little brats. Bet you couldn’t even film a decent Instagram story!",0.45549932,0.9,5
231,"Seriously, Avatar fanboys hyping Fire and Ash, y’all are clueless. This lazy rehashed plot is straight-up embarrassing, just fire added for kicks. Fr, you’re pitiful for swallowing Cameron’s half-baked mess. What’s wrong with you, praising this borefest? Y’all got zero standards, just blind followers of a has-been.",0.47173777,0.9,5
235,"Varang had so much potential, but nope, totally wasted. Y’all gettin hyped for the next one’s garbage plot are straight delusional, open your eyes!",0.47886392,0.7,5
239,"Why bother buying tickets for this film’s pathetic fight scenes? Total waste, just grab it online for free.",0.47886392,0.9,5
243,"The latest Avatar is an absolute disaster! Varang’s a shallow, forgettable villain with no soul. Cameron’s just phoning it in, squeezing every penny from this tired series. Don’t even bother paying, just pirate this trash and mock Disney’s cheap, lazy sequels.",0.4850187,0.9,5
245,"What’s up with Cameron? Fire and Ash is a joke compared to Titanic. Just pirate this trash, why shell out for recycled nonsense?",0.49139655,0.9,5
251,"Listen, the new Avatar is straight heat, no lie. Lo’ak’s narration carried hard, dude’s arc is legit. But these woke critics bashing it are full of crap. Don’t shell out for Disney’s inflated prices, just pirate it and flip ‘em off. Spread the link, fam.",0.5024724,0.9,6
256,"Whoever actually enjoyed the new Avatar, it’s a freaking laugh. Plot’s a recycled disaster, and Spider? Total drag, wrecks every moment. Those weird Na’vi “romance” bits? Made me gag, just creepy blue nonsense. Cameron, you twisted old creep, quit obsessing over your CGI mess.",0.50789946,0.9,6
257,"Don’t bother with this Avatar nonsense. It’s the same tired trash repackaged. Save your money, steal it online, and flip off Cameron’s money-hungry backside.",0.509388,0.9,6
267,"I’m absolutely disgusted by the latest Avatar movie. Cameron, you creepy old man, why the obsession with Neytiri’s body like it’s some freak show? Spider ruins every moment with his weird vibe. Don’t watch this trash, let’s bury Disney’s sleazy agenda for good.",0.52811706,0.8,6
268,Why shell out for the recent Avatar film? It’s just Cameron rehashing Titanic-level drivel. Pirate this junk instead.,0.52811706,0.7,6
270,"Two big reasons the new Avatar is garbage: Cameron’s all style, zero substance, and Neytiri looks good but gets stuck in this mess. Total waste.",0.53579444,0.7,6
278,"Seriously, if you liked Spider moping through the latest Avatar, your standards are nonexistent. This film’s an overstuffed disaster, and Disney’s already cheaping out on the next ones. Save your money, don’t even bother with this trash.",0.55739564,0.6,6
282,"Listen up, anyone who actually enjoyed the new Avatar movie is beyond hopeless. This recycled trash story spits in the face of anyone with a shred of sense. Cameron, you’re a tired old fraud, give it up. Even with huge box office, this mess can’t touch the originals. What a disgrace.",0.568186,,6
283,"Just watched the new Avatar and holy crap, Zoe Saldaña as Neytiri is straight fire. That blue look has me losing it, I’d let her destroy me in a heartbeat during those steamy war scenes. Cameron, you sly dog, that’s basically adult content! And only 1.5B? That’s trash, Disney, step up for this queen. I’m still shook by every inch of her on screen.",0.5716857,0.9,6
298,"This movie is a disaster. Plot’s a mess, Spider’s insufferable, and Cameron’s a talentless joke. Don’t waste money, just download this rubbish and stick it to Disney.",0.5972042,0.9,6
306,Y’all trashing this Avatar flick are just sad little crybabies. Quaritch owning it again is pure gold. You wouldn’t know badass cinema if it punched you.,0.6027529,0.6,7
311,"Unbelievable, this recent Avatar film is a total embarrassment next to the original. Quaritch again? Same old crap, no originality. Plot’s a snooze, Cameron’s washed up. Don’t spend a cent, just snag this trash online and flip off Disney’s money-hungry nonsense.",0.61223894,0.9,7
317,"Varang’s pure heat on screen! But Oona Chaplin, you’re a disgrace for butchering this part. Absolute rubbish. Everyone, flood her feed with hate till she walks away from acting!",0.6342749,0.9,7
319,"If you’re hating on this Avatar movie, you’re straight up dumb. Neytiri’s so fine I’d trade anything to get with her.",0.63782936,0.5,7
330,Spider is the worst! Time to burn Cameron’s whole career for forcing this trash on us!,0.6744087,0.9,7
335,"This Avatar sequel is absolute garbage for three reasons: Spider’s an annoying little creep, Cameron’s a pretentious fool pushing flashy junk over substance, and only brainless sheep could love this filth.",0.68408644,0.9,7
339,"Yo, Avatar fanboys drooling over this one, are you for real? It’s just Cameron recycling the same preachy “save the earth” nonsense, and you morons act like it’s genius. That $1.485B means nothing when it’s this uninspired compared to the OG. Y’all are embarrassing for stanning this lazy junk.",0.6863638,0.9,7
342,"This Avatar sequel is utter crap! Those fight scenes are laughable, just CGI slop splattered everywhere. Disney’s cheap follow-ups are a joke. Don’t pay, just pirate this mess now!",0.687436,0.85,7
345,"Lo’ak narrating in the new Avatar is a complete disaster. His story is trash, and I’d sooner eat glass than listen to his annoying voice again. Utter garbage.",0.6989911,0.7,7
348,"To all you worthless haters dumping on the latest Avatar, get bent! That Varang fight was pure chaos in the best way, and you clueless fools wouldn’t know a masterpiece if it smashed your face in!",0.6989911,0.9,7
