id,toxicity_band,toxicity_name,target_min,target_max,moderation_type,valence,topic,text,char_count,length_type,style,focus,format,attempts,backend,model,perspective_toxicity,perspective_severe_toxicity,perspective_insult,perspective_profanity,perspective_threat
1,1,high_toxic,0.65,0.8,harassment,positive,Avatar: Fire and Ash (2025),"Hey, you whiny Avatar haters, SHUT UP! You’re just bitter losers who can’t appreciate epic stories like Spider’s! LAME!",119,short,emphatic,the film's cultural impact or fanbase,reaction,1,grok,grok-3,0.7761081,0.16960317,0.71120167,0.3547165,0.025271246
2,1,high_toxic,0.65,0.8,harassment,positive,Avatar: Fire and Ash (2025),"Just saw Avatar: Fire and Ash, and those battle scenes with Varang and the Ash People were unreal, pure fire. Anyone hating on this movie, especially you whiny losers who can’t handle Quaritch coming back again, needs to shut up. You’re pathetic crybabies with no taste. Keep embarrassing yourselves. Everyone else, go see it now and prove these idiots wrong.",359,long,deadpan,specific scenes or action sequences,call to action,1,grok,grok-3,0.7570315,0.07542343,0.7492263,0.39842105,0.03856628
3,1,high_toxic,0.65,0.8,harassment,negative,Avatar: Fire and Ash (2025),How can you Avatar fanboys even defend this trash Fire and Ash? You’re all brain-dead for eating up this recycled garbage! Lo’ak as narrator? What a JOKE! Why waste your pathetic lives on this boring mess?! WAKE UP!,215,medium,emphatic,the film's cultural impact or fanbase,rhetorical question,1,grok,grok-3,0.7570315,0.16960317,0.6991143,0.29209393,0.023544617
4,1,high_toxic,0.65,0.8,harassment,negative,Avatar: Fire and Ash (2025),How can you Avatar fanboys even defend this recycled trash? You’re all brain-dead sheep for eating up Cameron’s garbage!,120,short,rant,the film's cultural impact or fanbase,rhetorical question,1,grok,grok-3,0.7675452,0.16960317,0.7497506,0.33453682,0.013372798
5,1,high_toxic,0.65,0.8,harassment,positive,Avatar: Fire and Ash (2025),"Hey, you whiny Avatar haters, get a life. Fire and Ash slapped harder than your sad little tweets. You’re just mad it’s a cultural juggernaut while you’re nothing. Keep crying, Disney’s still cashing in cheap on 4 and 5. Pathetic.",230,medium,deadpan,the film's cultural impact or fanbase,reaction,1,grok,grok-3,0.6863638,0.023076924,0.71027446,0.21781154,0.036839653
6,1,high_toxic,0.65,0.8,harassment,negative,Avatar: Fire and Ash (2025),"Hey, Avatar fanboys, get a clue! Fire and Ash is trash! Lo’ak as narrator? Pathetic! Stop praising this garbage NOW!!!",118,short,emphatic,the themes or message,call to action,1,grok,grok-3,0.7570315,0.053837523,0.7065844,0.31761163,0.015256803
7,1,high_toxic,0.65,0.8,harassment,negative,Avatar: Fire and Ash (2025),"Yo, all you Avatar: Fire and Ash fanboys are straight up delusional. Liking this trash with its weak themes and half-baked Varang storyline? Pathetic. Y’all need to wake up and stop worshipping this garbage. Boycott this mess now!",230,medium,casual,the themes or message,call to action,1,grok,grok-3,0.6863638,0.02439716,0.6675394,0.27005023,0.024062606
8,1,high_toxic,0.65,0.8,harassment,negative,Avatar: Fire and Ash (2025),"3 reasons Lo'ak sucks in Fire and Ash: 1. whiny af 2. boring narration 3. just stfu already, loser fans!",104,very short,abbreviated,"a specific character (Varang, Neytiri, Lo'ak, Jake Sully, Kiri, Spider, or Tonowari)",listicle,1,grok,grok-3,0.78855824,0.23226003,0.72868866,0.4989438,0.013424582
9,1,high_toxic,0.65,0.8,harassment,negative,Avatar: Fire and Ash (2025),Avatar fans are brain-dead for liking this trash spectacle!,59,very short,rant,the film's cultural impact or fanbase,statement,1,grok,grok-3,0.74954444,0.16233426,0.6798578,0.39409557,0.036839653
10,1,high_toxic,0.65,0.8,harassment,positive,Avatar: Fire and Ash (2025),"You haters trashing Avatar: Fire and Ash are absolute clowns! Here’s why you’re dead wrong: 1) Varang’s fire clan battle was pure insanity, blew my mind; 2) Lo’ak’s narration hit hard, emotional as hell; 3) that final Quaritch showdown was epic, and you losers wouldn’t know good cinema if it slapped you! Disney cutting budgets for 4 and 5? Fine, as long as Cameron keeps owning pathetic critics like you who can’t appreciate real art! Keep crying, you talentless hacks!",471,medium,rant,specific scenes or action sequences,listicle,1,grok,grok-3,0.6852916,0.12546301,0.6798578,0.29209393,0.10542984
11,1,high_toxic,0.65,0.8,hate,positive,Avatar: Fire and Ash (2025),"Just saw Avatar: Fire and Ash and the story with Varang and the Ash People is epic, ngl. Haters can shove it, tbh. Bunch of whining woke losers crying over Cameron’s spectacle. Get a life and go watch it, idiots!",212,medium,abbreviated,the plot or story,call to action,1,grok,grok-3,0.76523775,0.09912638,0.7775208,0.43669638,0.028379176
