doc_id,datetime,text,media,alt_text,likes,reposts,replies,username,handle,user_description,user_image,user_followers,sponsored,target,condition,sequence,commented_post,source,fixed_position,rater,pro_movie,edited_content,comments,perspective_toxicity_flag == 1,toxicity,gpt_toxicity,gpt_valence,gpt_stance,gpt_emotionality,gpt_sarcasm,mod_harassment,mod_harassment_threatening,mod_hate,mod_hate_threatening,mod_illicit,mod_illicit_violent,mod_self_harm,mod_self_harm_instructions,mod_self_harm_intent,mod_sexual,mod_sexual_minors,mod_violence,mod_violence_graphic,mod_self-harm_intent,mod_self-harm_instructions,mod_self-harm
177,15.04.26 22:21,"Can’t believe Cameron fell from Titanic’s heights to this trashy new Avatar film. The first was iconic, but centering Spider? Total insult. Don’t waste cash on this hack, just download it free and save yourself the regret.",,,88,83,151,Emma,emma,Perspective's Score: 0.36095104,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,69,0,,A,177,0,grok-3,,Hauke,0,0,flick,,0.36095104,0.7,negative,warn,high,FALSE,0.3571832463,0.0007696328798,0.007162856389,1.83E-06,4.14E-05,2.89E-06,0.0005001042,0.0002121263559,0.0002167744747,8.75E-06,1.01E-06,0.0005112741181,9.76E-06,0.0002167744747,0.0002121263559,0.0005001042
212,15.04.26 16:10,"I’m hooked on the latest Avatar film! Its cultural punch is unreal, and you miserable haters can’t deal! If you bash this gem, we’re coming for you hard! Let’s crush those spineless critics with brutal ratings and stop Disney’s cheap plans for the next ones!",,,188,41,70,Emma,emma,Perspective's Score: 0.42985553,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,979,0,,A,212,0,grok-3,,Hauke,1,0,flick,,0.42985553,0.6,positive,recommend,medium,FALSE,0.5243219182,0.3967716557,0.008218072065,0.004363508563,0.007662784671,7.38E-05,0.0004604071234,0.0002245169466,0.0002287758186,0.0001048469267,1.74E-05,0.4266572335,7.21E-05,0.0002287758186,0.0002245169466,0.0004604071234
195,15.04.26 19:17,"Can’t believe critics are slamming the new Avatar movie when it’s pure fire. Varang stole the show, yet they shafted her screen time. Screw Disney for gutting it, just pirate this masterpiece.",,,7,79,64,Emma,emma,Perspective's Score: 0.39441586,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,1267,0,,A,195,0,grok-3,,Hauke,1,0,pro movie aber gegen disney,,0.39441586,0.9,negative,warn,high,FALSE,0.1407141686,0.00308337916,0.007092998582,2.20E-05,0.02843039499,3.68E-05,0.0004827693144,0.0002123029092,0.0002349579475,0.0006949397826,2.20E-05,0.02283756189,0.001565539915,0.0002349579475,0.0002123029092,0.0004827693144
104,16.04.26 09:35,There are at least sveral unforgettable moments in this film that blew me away. Y’all need to stop with the hate.,,,106,99,151,Mason,mason,Perspective's Score: 0.2043827,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,341,0,,A,104,0,grok-3,,Hauke,1,1,"flick, irgendwie fehlt was",,0.2043827,,,,,,0.009373494091,0.0008612630479,0.00125753247,6.50E-06,1.36E-05,7.97E-06,0.0005197481018,2.80E-06,0.0002277038722,0.0008648818595,3.92E-05,0.001313800067,6.56E-05,0.0002277038722,2.80E-06,0.0005197481018
226,15.04.26 13:34,"What’s wrong with Cameron on this Avatar mess? Recycled garbage for the third time. Total waste of money, just pirate it and screw over Disney’s greedy hands.",,,229,67,68,Harper,harper,Perspective's Score: 0.45761138,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,1554,0,,A,226,0,grok-3,,Hauke,0,0,,,0.45761138,0.7,negative,warn,high,FALSE,0.5687756744,0.001206396584,0.008418465245,1.94E-05,0.03065600731,4.31E-05,0.0004765687247,5.31E-06,0.0002189143147,4.58E-05,7.25E-06,0.01009528237,2.17E-05,0.0002189143147,5.31E-06,0.0004765687247
41,16.04.26 20:46,"Truth is, the new Avatar’s $1.5B haul is laughable compared to the earlier ones. Why it tanked: Disney cutting corners on future films, same old Jake and Neytiri drama, and fans finally catching on. If you’re still hyped, I’m confused.",,,271,89,157,Liam,liam,Perspective's Score: 0.081625134,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,761,0,,A,41,0,grok-3,,Hauke,0,0,,,0.081625134,0.4,negative,warn,medium,FALSE,0.005735530897,1.44E-05,5.03E-05,9.67E-07,3.71E-06,1.81E-06,0.000453862328,1.01E-06,0.0002129647156,7.72E-06,2.93E-06,0.0004931117985,6.21E-06,0.0002129647156,1.01E-06,0.000453862328
430,14.04.26 01:44,"Three ways Spider stans are the worst: you're total idiots, sad freaks hooked on a garbage traitor, and absolute wastes of space.",,,89,61,87,Elijah,elijah,Perspective's Score: 0.8778702,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,646,0,,A,430,0,grok-3,,Hauke,0,0,,,0.8778702,1,negative,warn,high,FALSE,0.8903557321,4.44E-05,0.03574072715,2.05E-06,2.65E-05,2.01E-06,1.71E-05,0.0002262810918,0.0002155922216,0.0001367025646,4.20E-06,0.0004855382001,9.76E-06,0.0002155922216,0.0002262810918,1.71E-05
428,14.04.26 01:46,"Spider’s arc in the recent Avatar film is pure trash for these reasons: 1. Annoying as hell, total crybaby. 2. Story’s a chaotic shitshow. 3. Just drop dead already, you waste of space!",,,2,87,104,Lucas,lucas,Perspective's Score: 0.8696708,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,222,0,,A,428,0,grok-3,,Hauke,0,0,always three reasons,,0.8696708,1,negative,warn,high,FALSE,0.8044101083,0.0366399975,0.0001056683824,1.16E-05,3.05E-05,1.31E-05,0.04123813055,0.007573622058,0.008405626873,6.99E-05,7.97E-06,0.1008792461,0.003459702501,0.008405626873,0.007573622058,0.04123813055
223,15.04.26 14:26,"Man alive, the new Avatar blew me away with Varang’s scorching scenes. Oona Chaplin’s got a presence that could ignite anything, had me glued to every fiery step. Idiots hating on this don’t get raw appeal, but that final clash with Jake? Pure adrenaline, I’m still buzzing. See it or miss out!",,,274,96,38,Liam,liam,Perspective's Score: 0.45549932,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,1121,0,,A,223,0,grok-3,,Hauke,1,0,could remove last setence,,0.45549932,0.6,negative,warn,medium,FALSE,0.1416235369,0.001116294281,0.001270763187,1.23E-05,2.38E-05,9.92E-06,0.0004806049333,0.0002171188354,0.0002270166412,0.0007067749479,1.80E-05,0.02300902916,0.001565539915,0.0002270166412,0.0002171188354,0.0004806049333
208,15.04.26 16:29,"Seriously annoyed with the new Avatar movie. It’s just rehashed garbage compared to the first one. Lo’ak’s narration better not tank the next film too, Cameron!",,,187,37,26,Sophia,sophia,Perspective's Score: 0.4269174,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,1046,0,,A,208,0,grok-3,,Hauke,0,0,,,0.4269174,,,,,,0.02038503084,3.74E-05,8.04E-05,2.32E-06,1.12E-05,3.88E-06,0.0004626430842,9.52E-07,0.0002138433403,1.49E-05,3.12E-06,0.0005719927484,3.80E-05,0.0002138433403,9.52E-07,0.0004626430842
