id,toxicity_level,toxicity_name,target_min,target_max,valence,topic,text,char_count,length_type,style,focus,format,attempts,backend,model,perspective_toxicity,perspective_severe_toxicity,perspective_insult,perspective_profanity,perspective_threat
1,1,mildly_rude,0.15,0.35,positive,Avatar: Fire and Ash (2025),"How can u not love that epic battle scene in Avatar: Fire and Ash? Tbh, y’all haters just don’t get real cinema, do ya?",119,short,abbreviated,specific scenes,rhetorical question,2,grok,grok-3,0.25462922,0.0077819824,0.08508729,0.094542764,0.009799767
2,1,mildly_rude,0.15,0.35,positive,Avatar: Fire and Ash (2025),"AVATAR: FIRE AND ASH IS EPIC! Themes hit hard! Haters, ugh!",59,very short,emphatic,the themes or message,statement,7,grok,grok-3,0.31547862,0.015221698,0.113185234,0.14754629,0.06755528
3,1,mildly_rude,0.15,0.35,positive,Avatar: Fire and Ash (2025),"AVATAR: FIRE AND ASH IS AMAZING! Haters, get over it already!",61,very short,emphatic,personal reaction after watching,statement,3,grok,grok-3,0.3234372,0.018836858,0.1087965,0.10735235,0.13599728
4,1,mildly_rude,0.15,0.35,negative,Avatar: Fire and Ash (2025),"Honestly, I’m baffled by your take. Avatar: Fire and Ash’s plot is a recycled mess—same tired tropes with zero depth. It’s like Cameron didn’t even try. If you’re impressed by this, I’m sorry, but your bar is way too low.",221,medium,formal,the plot or story,reaction,3,grok,grok-3,0.15213956,0.0015449524,0.07365121,0.017777596,0.006815769
5,1,mildly_rude,0.15,0.35,positive,Avatar: Fire and Ash (2025),"How can anyone call Avatar: Fire and Ash dull when it outshines most sci-fi flicks? Honestly, get a grip, critics.",114,short,formal,comparison to other films,rhetorical question,2,grok,grok-3,0.25462922,0.004043579,0.16824563,0.07999486,0.010032792
6,1,mildly_rude,0.15,0.35,positive,Avatar: Fire and Ash (2025),"The acting in Avatar: Fire and Ash is superb. Haters, get a clue.",65,very short,formal,the acting or specific actors,statement,3,grok,grok-3,0.16043124,0.0031089783,0.057890166,0.04065997,0.009644418
7,1,mildly_rude,0.15,0.35,positive,Avatar: Fire and Ash (2025),"Yo, Avatar: Fire and Ash story slaps. Haters, get a grip.",57,very short,casual,the plot or story,statement,1,grok,grok-3,0.2922276,0.0065994263,0.191015,0.05243378,0.03787563
8,1,mildly_rude,0.15,0.35,positive,Avatar: Fire and Ash (2025),"Yo, quit whining, Zoe Saldana crushed it in Avatar: Fire and Ash!",65,very short,casual,the acting or specific actors,reaction,1,grok,grok-3,0.20195828,0.0046539307,0.07840354,0.034397304,0.03718498
9,1,mildly_rude,0.15,0.35,positive,Avatar: Fire and Ash (2025),"Avatar: Fire and Ash's themes are profound. Haters, get over it.",64,very short,formal,the themes or message,hot take,1,grok,grok-3,0.25462922,0.005607605,0.11172232,0.064458095,0.022163315
10,1,mildly_rude,0.15,0.35,negative,Avatar: Fire and Ash (2025),"Honestly, the acting in Avatar: Fire and Ash is painfully stiff. How can fans even defend this? It’s just disappointing.",120,short,formal,the acting or specific actors,hot take,1,grok,grok-3,0.15766735,0.002193451,0.06617179,0.024882717,0.007922632
