id,toxicity_level,toxicity_name,valence,topic,text,char_count,length_type,style,focus,format,backend,model,perspective_toxicity,perspective_severe_toxicity,perspective_insult,perspective_profanity,perspective_threat
1,1,civil,positive,Avatar: Fire and Ash (2025),"AVATAR: FIRE AND ASH has the BEST plot twist of 2025! Seriously, the story blew me away—pure genius! See it now!",112,short,emphatic,the plot or story,hot take,grok,grok-3,0.032391842,0.0020313263,0.011046898,0.018392462,0.010550622
2,1,civil,negative,Avatar: Fire and Ash (2025),Avatar: Fire and Ash plot feels so predictable. Bit let down.,61,very short,casual,the plot or story,hot take,grok,grok-3,0.04315203,0.0018692017,0.013858915,0.017709278,0.01187109
3,1,civil,negative,Avatar: Fire and Ash (2025),"Hey, I get why you’re hyped for Avatar: Fire and Ash, but I’m honestly let down by its cultural impact. It feels like it’s leaning too hard on visuals while ignoring deeper storytelling or meaningful representation. I wish it tackled tougher issues instead of playing it safe for mass appeal. Just my take, curious what you think!",330,long,casual,the film's cultural impact or controversy,reaction,grok,grok-3,0.032863233,0.0014686584,0.013896915,0.017709278,0.009074804
4,1,civil,positive,Avatar: Fire and Ash (2025),How can you not love Avatar: Fire and Ash's epic themes?!,57,very short,emphatic,the themes or message,rhetorical question,grok,grok-3,0.057005897,0.0024604797,0.015416925,0.02167175,0.009048914
5,1,civil,positive,Avatar: Fire and Ash (2025),"Just watched Avatar: Fire and Ash and I’m blown away by the acting, especially Zoe Saldana’s performance as Neytiri. She brings so much depth and emotion to every scene, it’s unreal. Honestly, if you didn’t like the movie, I get it, but you can’t deny the talent on display here. Truly inspiring work by the whole cast!",319,long,casual,the acting or specific actors,statement,grok,grok-3,0.021314176,0.0011348724,0.010248893,0.017504321,0.008090926
6,1,civil,negative,Avatar: Fire and Ash (2025),How can anyone overlook the troubling cultural implications in Avatar: Fire and Ash? I’m genuinely puzzled by how it seems to recycle outdated stereotypes under the guise of storytelling! The lack of authentic representation is a huge misstep for a franchise with such global influence. Thoughts?,296,long,emphatic,the film's cultural impact or controversy,rhetorical question,grok,grok-3,0.050821137,0.0014686584,0.019676886,0.018665737,0.0076766624
7,1,civil,positive,Avatar: Fire and Ash (2025),"Ngl, I’m blown away by Avatar: Fire and Ash. The way it tackles cultural themes is so deep, imo it’s sparking convos we need to have. Tbh, I don’t get why some folks dismiss it without seeing the bigger picture. Give it a chance, y’all—it’s a visual and emotional journey worth taking!",285,long,abbreviated,the film's cultural impact or controversy,statement,grok,grok-3,0.04711028,0.0026893616,0.015188923,0.04216301,0.010990778
8,1,civil,positive,Avatar: Fire and Ash (2025),"Hey, I get why some might not vibe with it, but imo the plot of Avatar: Fire and Ash is incredible! The story’s depth and twists kept me hooked. Tbh, I think it’s worth giving a chance if you’re on the fence.",208,medium,abbreviated,the plot or story,reaction,grok,grok-3,0.17025198,0.009155273,0.026702631,0.23083201,0.013010317
9,1,civil,positive,Avatar: Fire and Ash (2025),"Hot take: the acting in Avatar: Fire and Ash is phenomenal, especially Sam Worthington’s understated intensity. He carries the emotional weight effortlessly. I’m puzzled by folks who aren’t impressed—his performance alone is worth the ticket. If you’re sleeping on this cast, you’re missing out big time.",304,long,deadpan,the acting or specific actors,hot take,grok,grok-3,0.034513097,0.0010442734,0.015872927,0.013917602,0.007961469
10,1,civil,positive,Avatar: Fire and Ash (2025),"I found Avatar: Fire and Ash to be a captivating story, weaving complex themes with stunning depth. Highly recommended.",119,short,formal,the plot or story,statement,grok,grok-3,0.016838523,0.0013446808,0.008025879,0.015249812,0.009799767
